sample_name,mgrast_id,biome,collection_date,country,env_package,feature,latitude,location,longitude,material,collection_time,collection_timezone,continent,sample_id
EM109,mgs69320,terrestrial biome,2009-06-03,Ireland,human-gut,human-associated habitat,51.898396,Cork,-8.471274,feces,07:00:00,UTC,europe,EM109-T3
EM110,mgs69323,terrestrial biome,2009-06-03,Ireland,human-gut,human-associated habitat,51.898396,Cork,-8.471274,feces,09:00:00,UTC,europe,EM110-T3
EM119,mgs69326,terrestrial biome,2009-06-25,Ireland,human-gut,human-associated habitat,51.898396,Cork,-8.471274,feces,08:30:00,UTC,europe,EM119-T3
EM120,mgs69329,terrestrial biome,2009-06-25,Ireland,human-gut,human-associated habitat,51.898396,Cork,-8.471274,feces,09:00:00,UTC,europe,EM120-T3
EM122,mgs69332,terrestrial biome,2009-07-27,Ireland,human-gut,human-associated habitat,51.898396,Cork,-8.471274,feces,10:00:00,UTC,europe,EM122-T3
EM133,mgs69335,terrestrial biome,2009-08-11,Ireland,human-gut,human-associated habitat,51.898396,Cork,-8.471274,feces,13:30:00,UTC,europe,EM133-T3
EM134,mgs69338,terrestrial biome,2009-07-08,Ireland,human-gut,human-associated habitat,51.898396,Cork,-8.471274,feces,07:00:00,UTC,europe,EM134-T3
EM136,mgs69341,terrestrial biome,2009-04-16,Ireland,human-gut,human-associated habitat,51.898396,Cork,-8.471274,feces,08:00:00,UTC,europe,EM136-T0
EM138,mgs69344,terrestrial biome,2009-07-15,Ireland,human-gut,human-associated habitat,51.898396,Cork,-8.471274,feces,22:00:00,UTC,europe,EM138-T3
EM142,mgs69347,terrestrial biome,2009-07-15,Ireland,human-gut,human-associated habitat,51.898396,Cork,-8.471274,feces,12:30:00,UTC,europe,EM142-T3
EM143,mgs69350,terrestrial biome,2009-07-27,Ireland,human-gut,human-associated habitat,51.898396,Cork,-8.471274,feces,09:00:00,UTC,europe,EM143-T3
EM144,mgs69353,terrestrial biome,2009-04-28,Ireland,human-gut,human-associated habitat,51.898396,Cork,-8.471274,feces,11:30:00,UTC,europe,EM144-T0
EM150,mgs69356,terrestrial biome,2009-05-27,Ireland,human-gut,human-associated habitat,51.898396,Cork,-8.471274,feces,09:00:00,UTC,europe,EM150-T0
EM157,mgs69359,terrestrial biome,2009-08-31,Ireland,human-gut,human-associated habitat,51.898396,Cork,-8.471274,feces,11:30:00,UTC,europe,EM157-T3
EM158,mgs69362,terrestrial biome,2009-06-03,Ireland,human-gut,human-associated habitat,51.898396,Cork,-8.471274,feces,09:30:00,UTC,europe,EM158-T0
EM159,mgs69365,terrestrial biome,2009-06-07,Ireland,human-gut,human-associated habitat,51.898396,Cork,-8.471274,feces,15:30:00,UTC,europe,EM159-T0
EM161,mgs69368,terrestrial biome,2009-10-14,Ireland,human-gut,human-associated habitat,51.898396,Cork,-8.471274,feces,09:30:00,UTC,europe,EM161-T3
EM166,mgs69371,terrestrial biome,2009-06-16,Ireland,human-gut,human-associated habitat,51.898396,Cork,-8.471274,feces,13:30:00,UTC,europe,EM166-T0
EM168,mgs69374,terrestrial biome,2009-09-21,Ireland,human-gut,human-associated habitat,51.898396,Cork,-8.471274,feces,09:00:00,UTC,europe,EM168-T3
EM169,mgs69377,terrestrial biome,2009-06-15,Ireland,human-gut,human-associated habitat,51.898396,Cork,-8.471274,feces,09:30:00,UTC,europe,EM169-T0
EM171,mgs69380,terrestrial biome,2009-06-22,Ireland,human-gut,human-associated habitat,51.898396,Cork,-8.471274,feces,08:30:00,UTC,europe,EM171-T0
EM172,mgs69383,terrestrial biome,2009-06-23,Ireland,human-gut,human-associated habitat,51.898396,Cork,-8.471274,feces,09:15:00,UTC,europe,EM172-T0
EM175,mgs69386,terrestrial biome,2009-06-29,Ireland,human-gut,human-associated habitat,51.898396,Cork,-8.471274,feces,07:30:00,UTC,europe,EM175-T0
EM176,mgs69389,terrestrial biome,2009-07-01,Ireland,human-gut,human-associated habitat,51.898396,Cork,-8.471274,feces,11:00:00,UTC,europe,EM176-T0
EM177,mgs69392,terrestrial biome,2009-07-01,Ireland,human-gut,human-associated habitat,51.898396,Cork,-8.471274,feces,11:30:00,UTC,europe,EM177-T0
EM178,mgs69395,terrestrial biome,2009-06-29,Ireland,human-gut,human-associated habitat,51.898396,Cork,-8.471274,feces,12:30:00,UTC,europe,EM178-T0
EM179,mgs69398,terrestrial biome,2009-07-01,Ireland,human-gut,human-associated habitat,51.898396,Cork,-8.471274,feces,14:30:00,UTC,europe,EM179-T0
EM181,mgs69401,terrestrial biome,2009-07-06,Ireland,human-gut,human-associated habitat,51.898396,Cork,-8.471274,feces,10:30:00,UTC,europe,EM181-T0
