sample_name,mgrast_id,biome,collection_date,country,env_package,feature,latitude,location,longitude,material,collection_time,collection_timezone,continent,sample_id
EM366,mgs69725,terrestrial biome,2010-11-18,Ireland,human-gut,human-associated habitat,51.898396,Cork,-8.471274,feces,14:00:00,UTC,europe,EM366-T0
EMc01,mgs69728,terrestrial biome,2009-12-14,Ireland,human-gut,human-associated habitat,51.898396,Cork,-8.471274,feces,10:00:00,UTC,europe,EMc01
EMc02,mgs69731,terrestrial biome,2009-12-14,Ireland,human-gut,human-associated habitat,51.898396,Cork,-8.471274,feces,10:00:00,UTC,europe,EMc02
EMc03,mgs69734,terrestrial biome,2009-12-14,Ireland,human-gut,human-associated habitat,51.898396,Cork,-8.471274,feces,10:00:00,UTC,europe,EMc03
EMc04,mgs69737,terrestrial biome,2009-12-15,Ireland,human-gut,human-associated habitat,51.898396,Cork,-8.471274,feces,10:00:00,UTC,europe,EMc04
EMc05,mgs69740,terrestrial biome,2009-12-16,Ireland,human-gut,human-associated habitat,51.898396,Cork,-8.471274,feces,10:00:00,UTC,europe,EMc05
EMc06,mgs69743,terrestrial biome,2009-12-16,Ireland,human-gut,human-associated habitat,51.898396,Cork,-8.471274,feces,10:00:00,UTC,europe,EMc06
EMc07,mgs69746,terrestrial biome,2009-12-17,Ireland,human-gut,human-associated habitat,51.898396,Cork,-8.471274,feces,10:00:00,UTC,europe,EMc07
EMc08,mgs69749,terrestrial biome,2010-01-05,Ireland,human-gut,human-associated habitat,51.898396,Cork,-8.471274,feces,10:00:00,UTC,europe,EMc08
EMc09,mgs69752,terrestrial biome,2010-01-07,Ireland,human-gut,human-associated habitat,51.898396,Cork,-8.471274,feces,10:00:00,UTC,europe,EMc09
EMc10,mgs69755,terrestrial biome,2010-01-12,Ireland,human-gut,human-associated habitat,51.898396,Cork,-8.471274,feces,10:00:00,UTC,europe,EMc10
EMc11,mgs69758,terrestrial biome,2010-01-12,Ireland,human-gut,human-associated habitat,51.898396,Cork,-8.471274,feces,10:00:00,UTC,europe,EMc11
EMc12,mgs69761,terrestrial biome,2010-01-12,Ireland,human-gut,human-associated habitat,51.898396,Cork,-8.471274,feces,10:00:00,UTC,europe,EMc12
EMc13,mgs69764,terrestrial biome,2010-01-18,Ireland,human-gut,human-associated habitat,51.898396,Cork,-8.471274,feces,10:00:00,UTC,europe,EMc13
