domain	phylum	className	order	family	genus	EM205_C_DG1_2A	EM291_LS_DG3_3A	EM245-T0	EM109-T3	EM248-T0	EM274-T0	EM330-T0	EM049-T6	EM176-T0	EM211-T0	EM054-T6	EMc04	EM223-T0	EM283_C_DG2_3A	EM214-T0	EM270-T0	EM148_R_NA_NA	EM363-T0	EM102-T0	EM105-T3	EM203-T0	EM271-T0	EM350_DH_DG2_3A	EM134-T3	EM326_R_DG2_2A	EM257-T0	EM232_R_DG1_2A	EM354-T0	EM282-T0	EM206-T0	EM195-T0	EM073-T6	EMc13	EM355-T0	EM283-T0	EM081-T0	EM366-T0	EM166_LS_DG3_4B	EM136-T0	EM259-T0	EM238_LS_DG3_3A	EM219-T0	EM361-T0	EM262-T0	EM177-T0	EM213-T0	EM089-T0	EM234-T0	EM338_DH_DG2_3A	EM327-T0	EM199-T0	EM168-T3	EM185-T0	EM364-T0	EM044-T0	EM215-T0	EM243-T0	EM244-T0	EM337_R_DG3_2A	EM047-T6	EM183-T3	EMc05	EM204-T0	EM175-T0	EM106-T3	EM203_C_DG1_3A	EM208_LS_DG4_4B	EM272-T0	191 ELDERMET samples	EM143-T3	EM291-T0	EM224-T0	EM082-T0	EM192-T0	EM284-T0	EM356-T0	EMc12	EM260-T0	EM237-T0	EM138-T3	EM172_C_DG2_1A	EM227_LS_DG4_3A	EM193-T0	EM178-T0	EMc11	EM365-T0	EM326-T0	EM209_R_NA_NA	EM233-T0	EM166-T0	EM172-T0	EM217-T0	EM161-T3	EM334_DH_DG2_1B	EM323-T0	EM205-T0	EM232-T0	EM120-T3	EM219_R_DG3_4B	EM253-T0	EM268-T0	EM171-T0	EM338-T0	EM277-T0	EM060-T0	EM096-T3	EM041-T0	EM318-T0	EM228-T0	EM197-T0	EM150-T0	EM242-T0	EM268_C_DG2_1B	EM169-T0	EM235-T0	EM188-T0	EM238-T0	EM328-T0	EMc07	EM177_C_DG2_1B	EM175_C_DG2_2B	EM222-T0	EMc10	EM179-T0	EMc03	EM144-T0	EM210-T0	EM053-T6	EM181-T0	EM191-T0	EM039_C_NA_NA	EM293-T0	EM247-T0	EM293_LS_DG2_4B	EM227-T0	EM122-T3	EM187-T0	EM265-T0	EM254-T0	EM239-T0	EM159-T0	EM350-T0	EM278-T0	EM231-T0	EM071-T0	EM191_L_DG4_3A	EM095-T0	EM321-T0	EM012-T0	EM251_C_DG1_1B	EMc06	EM189-T0	EM358-T0	EM263-T0	EM212-T0	EM221_LS_DG3_3B	EM093-T6	EM261-T0	EM142-T3	EM084-T3	EM198-T0	EMc08	EM357-T0	EM286-T0	EM276-T0	EM337-T0	EM017-T0	EM059-T6	EM119-T3	EM241-T0	EM252-T0	EM157-T3	EM269-T0	EM272_DH_DG2_3A	EM319-T0	EM100-T6	EM229-T0	EMc01	EM182-T0	EM015-T0	EM208-T0	EM094-T0	EM220-T0	EM242_LS_DG3_2B	EM240-T0	EM305_R_DG2_2A	EM264-T0	EM158-T0	EM221-T0	EM255-T0	EM308_LS_DG4_3A	EM133-T3	EM320-T0	EMc02	EM072-T6	EM207-T0	EM230-T0	EM351-T0	EM279-T0	EM110-T3	EM190-T0	EM251-T0	EM334-T0	EM275-T0	EM055-T6	EM273-T0	EM176_C_DG2_1B	EM107-T3	EM275_LS_DG3_2A	EM173_L_NA_NA	EMc09
Bacteria	Firmicutes	Bacilli	Bacillales	Alicyclobacillaceae	Alicyclobacillus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	230	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	14	14	42	2910	2850	1559	1916	2247	2416	3724	4899	2221	78	16	176	636	12	6279	2890	3521	1770	831	18	10827	0	395	26	3272	8482	1682	3290	888	1848	7333	3849	194	0	13	4916	6134	0	1510	1062	246	7885	2202	294	6852	13	2377	172	335	5790	1252	513	442	101	1448	0	8900	7155	660	1888	15	980	16	0	8912	553186	876	7515	8550	1375	3783	0	3321	2245	824	2463	1751	0	16	591	644	1845	7921	2455	19	2228	3608	496	2149	2423	0	4433	1008	1422	1839	15	4066	9000	788	2334	6032	2651	2612	10158	4241	6484	1345	3104	639	16	1735	3786	7992	8789	398	4711	18	0	4159	1199	669	536	640	2305	5248	1722	3559	0	12347	3469	0	2783	35	1016	957	10173	2839	725	5923	4833	5419	1490	0	1004	1456	3688	12	1184	2225	565	4508	920	0	1152	1379	1579	2419	0	2067	3416	1153	4592	165	2056	1823	2692	15229	10905	4922	853	13	2811	1704	2638	1218	3578	407	12	1547	2708	0	568	15	3319	2134	185	7184	13	7012	1316	1270	2279	630	6953	2688	6996	951	1652	6073	60	1438	2187	3507	12	1536	10	0	1706
Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Alkaliphilus	0	0	15	28	0	12	11	0	11	0	10	0	0	0	0	17	0	0	0	0	115	0	0	0	0	41	0	20	0	0	0	0	0	0	0	24	0	0	0	124	0	0	71	0	0	0	0	0	0	11	10	0	10	11	50	0	13	0	0	0	15	0	17	0	13	0	0	0	1713	0	10	14	0	50	0	0	13	95	14	0	0	0	0	0	12	0	25	0	0	0	10	0	53	0	0	18	0	0	0	20	0	23	0	0	0	0	0	0	11	19	0	0	0	0	44	0	0	0	20	0	0	80	0	0	0	0	0	0	0	14	0	0	21	0	0	0	0	0	12	35	21	0	29	0	0	0	28	0	0	0	0	0	10	25	0	0	18	0	26	0	0	11	0	14	0	0	0	18	19	0	38	0	0	0	0	14	50	0	12	0	0	0	0	0	30	0	13	0	0	0	0	15	28	0	0	0	19	0	54	18	0	22	35	0	36	23	0	20	0	0	25
Bacteria	Actinobacteria	Actinobacteria (class)	Bifidobacteriales	Bifidobacteriaceae	Alloscardovia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Actinobacteria	Actinobacteria (class)	Actinomycetales	Pseudonocardiaceae	Amycolatopsis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Cyanobacteria	unclassified (derived from Cyanobacteria)	Nostocales	Nostocaceae	Anabaena	0	0	0	10	0	10	0	0	17	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	511	12	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	13	0	19	0	0	0	0	0	0	0	0	0	0
Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales Family XIV. Incertae Sedis	Anaerobranca	0	0	0	0	0	0	0	0	0	192	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	33	134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1250	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	144	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	130	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	319	0	0	0	0	0	0	0	16	63	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales Family XI. Incertae Sedis	Anaerococcus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Anaerostipes	0	0	0	290	14	0	290	0	161	0	67	20	65	0	55	11	0	108	14	0	308	98	0	138	0	25	0	41	0	0	11	0	13	48	30	0	35	0	0	0	0	0	165	23	102	22	23	19	0	68	0	0	0	31	80	65	0	163	0	0	50	0	15	0	350	0	0	145	11579	12	10	111	0	19	0	51	15	336	0	27	0	0	721	0	75	0	237	0	168	0	167	0	58	0	0	0	0	19	0	462	797	23	33	0	40	90	0	22	0	0	0	119	0	0	319	0	0	0	0	0	0	0	188	0	41	0	20	0	91	0	0	0	0	0	18	0	33	246	252	102	0	300	240	187	10	0	64	129	39	0	0	25	19	50	85	0	83	0	59	40	0	0	10	0	304	140	65	12	12	0	89	35	0	0	48	25	384	50	94	0	28	0	13	0	58	0	93	0	0	15	0	37	19	10	0	14	133	0	0	119	0	68	0	0	11	136	0	31	0	0	0
Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Anaplasmataceae	Anaplasma	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
