"Alistipes finegoldii","Alistipes putredinis","Bacteroides caccae","Bacteroides ovatus","Bacteroides sp. D1","Bacteroides thetaiotaomicron","Bacteroides uniformis","Bacteroides vulgatus","Blautia hydrogenotrophica","Blautia sp. Ser8","Caloramator fervidus","Clostridium botulinum","Clostridium polysaccharolyticum","Coptotermes formosanus","Dethiobacter alkaliphilus","Escherichia sp. 3_2_53FAA","Eubacterium coprostanoligenes","Eubacterium limosum","Eubacterium rectale","Faecalibacterium prausnitzii","Heliobacterium modesticaldum","Kineococcus radiotolerans","Lachnospiraceae bacterium A4","Lactobacillus rhamnosus","Lactobacillus vaginalis","Parabacteroides distasonis","Parabacteroides gordonii","Parabacteroides merdae","Parvimonas micra","Propionibacterium acnes","Reinekea blandensis","Ruminococcus bromii","Synechococcus sp. WH 8109","Syntrophus aciditrophicus","uncultured bacterium","all_others"
7012,4861,3164,192,1692,326,696,2346,1628,924,173,108,642,830,1337,51,533,404,354,8037,1047,6462,1827,445,1310,262,4,7119,6099,1999,9384,389,1758,230,1382,20119
10827,8810,1637,585,2376,1,45,5229,1790,241,48,1312,145,2250,2142,11,81,201,353,8978,1798,5920,2150,569,1176,530,521,5810,3535,191,10987,594,1833,247,528,17785
4916,456,1225,311,2479,630,109,5093,1494,151,90,405,501,235,112,86,21,28,49,2677,1359,6902,1594,249,451,63,377,5411,1495,120,4063,349,642,41,189,10565
1751,660,2396,849,4522,217,185,7916,1179,708,57,151,422,723,301,57,425,362,681,4561,1148,7521,1398,2613,440,313,2503,2041,7399,1811,6993,103,1281,247,498,22285
1579,1198,2385,512,8567,2,17,5830,1820,1968,271,733,747,694,343,96,0,1130,448,7899,2248,13120,2683,1274,703,218,2,1552,7949,130,12124,567,1328,284,342,25447
876,784,1561,2,2372,389,213,5376,999,993,413,194,412,713,1240,12,292,310,572,8080,1137,4308,1405,139,1324,263,488,1371,9179,149,8722,328,1113,1776,3405,24648
640,374,336,54,2159,193,10,6993,1227,239,31,146,128,276,267,7,48,353,108,923,581,2367,1283,66,289,537,0,887,3602,353,3195,45,552,624,743,7785
3104,1087,2191,878,5256,1268,827,2295,966,111,71,135,505,519,922,475,69,1914,111,2451,1262,5049,1091,472,883,904,2653,2875,3479,1913,6878,1074,1003,96,93,11421
4922,2224,7592,517,1936,457,3126,7875,1351,875,51,370,468,540,845,3,53,136,1892,2614,2440,13958,1586,1247,1074,485,0,10149,3378,260,5977,2627,859,1068,1624,17089
2134,1783,1934,59,1596,250,143,5565,2965,68,194,875,319,703,409,48,3,288,4,4576,1699,3179,2988,360,360,674,659,2479,1762,762,6726,1289,1019,79,526,11786
725,295,1203,0,1466,71,20,3765,1718,100,4252,615,895,575,466,39,180,189,6,2657,3361,4061,1788,30,306,145,5,709,5149,1520,7051,521,626,176,338,14054
2423,1109,3545,24,2507,8,1840,3461,416,814,2722,1449,253,308,697,187,11,769,40,4879,3766,6983,819,373,794,718,1353,2218,5536,596,6891,39,1264,292,1149,17898
3608,503,964,1600,3567,7,45,3103,299,18,607,558,12,87,12,339,0,23,22,1479,569,3596,333,224,82,0,2047,6139,557,76,668,1266,911,1,330,3264
335,142,1924,131,1746,60,302,5888,288,446,2762,428,175,1346,331,1009,9,204,36,2829,2041,4179,129,192,1308,466,237,520,2810,1102,5070,28,537,31,416,12444
1735,1072,3130,34,1535,2,1020,3431,1140,193,152,1549,473,1305,833,15,55,90,34,3729,2171,5688,1133,183,763,363,104,3473,2107,678,4912,1222,376,68,162,8866
788,675,613,66,1069,20,165,1589,491,623,364,192,273,762,851,0,8,160,261,2436,1217,1587,565,484,1620,113,1,797,3175,149,5410,273,303,285,4269,9817
496,122,1266,0,3910,86,19,5849,2001,466,85,251,1148,911,1164,82,644,1071,363,6005,1303,4072,2234,599,1325,500,470,611,6600,1090,9079,241,1754,207,688,18169
15,3,2172,1639,3852,6,417,12079,0,870,29,89,0,134,1050,23,102,89,1465,7788,1177,13603,56,1014,458,389,0,219,852,22,3925,0,623,45,1872,18924
2416,1400,4058,164,1641,164,71,12835,695,1260,778,112,404,266,1335,169,1198,1573,401,6201,1326,8975,1009,335,2750,300,549,2912,4774,612,8890,16,1989,274,410,18919
7885,5162,2388,176,2416,221,919,5638,1482,436,1552,919,725,186,580,112,655,1106,96,4692,1503,5596,1117,775,1111,664,20,4112,3336,378,5264,381,1021,117,1481,12409
644,210,887,223,3460,324,4,6457,350,203,1166,191,152,343,924,807,0,219,21,4013,1359,3689,436,499,705,262,198,1012,1089,408,3998,153,1057,589,983,10497
669,7,4340,2761,3674,2,1673,11600,67,222,13,606,34,217,153,1,0,47,615,644,860,7466,162,36,166,2,9,4479,615,61,2108,4,332,53,135,6312
1722,620,3313,116,0,101,133,6021,1612,799,77,992,2748,490,3011,3,40,861,206,6768,2364,2453,1274,567,0,191,284,2,7618,705,9668,2307,0,0,1641,18427
3578,1640,3688,6,0,6,389,5056,1206,246,144,1008,277,342,346,59,1,140,5,2016,1205,370,1947,401,0,339,0,0,2457,3066,6839,129,0,0,915,13294
7155,3127,122,184,1966,1,79,8515,1111,604,2012,261,428,1649,0,0,2,1573,349,1861,0,3543,650,312,2058,420,189,7345,1,0,0,160,639,2871,1542,15217
5790,1314,5410,421,0,1113,108,3509,793,353,263,513,922,470,2330,356,742,195,215,3311,1484,534,929,318,0,625,1217,4,2410,424,5762,173,0,0,1149,13987
1016,19,8174,305,0,6,2095,3447,408,560,49,1279,725,240,715,541,0,74,611,3699,2586,1113,716,933,0,2,2780,54,2325,167,3080,1581,0,0,286,19108
7992,2030,0,83,8564,16,79,21948,2,246,313,154,3,914,0,0,1,2,249,920,0,7486,23,765,825,6025,1,5658,0,0,0,484,3918,36,183,24885
2225,1829,1891,44,0,0,309,1830,926,626,62,651,423,3312,2048,11,4,224,84,2157,1082,591,786,240,0,229,1,0,4012,431,6950,1781,0,0,1031,12442
1652,204,10,28,2110,411,11,3333,502,478,420,944,465,1269,0,0,144,368,689,2195,0,2780,667,434,4155,182,365,2229,2,0,0,1256,1147,110,1807,19599
3559,1247,1364,29,842,28,46,6678,1025,538,718,245,318,1658,636,284,12,565,10,6765,1604,3073,941,598,1257,369,204,4125,2672,364,5256,35,593,620,1567,15432
