"Alistipes","Bacteroides","Bifidobacterium","Blautia","Butyrivibrio","Caloramator","Clostridium","Coptotermes","Dethiobacter","Escherichia","Eubacterium","Faecalibacterium","Heliobacterium","Hespellia","Kineococcus","Lactobacillus","Listeria","Parabacteroides","Prevotella","Propionibacterium","Reinekea","Roseburia","Ruminococcus","Selenomonas","Synechococcus","Syntrophus","all_others"
1961,8343,1739,4588,1868,1134,4073,422,2206,63,3786,9946,845,44,8410,4115,631,1499,7,238,9870,720,2531,109,2645,1142,15694
3051,17733,433,3720,40,33,1393,929,632,0,1875,4203,846,119,6499,1114,194,5013,0,767,6765,98,919,6,1177,520,15417
1807,9078,306,4316,544,1256,6876,5417,5797,22,5443,6256,2222,406,7283,2740,190,6063,0,150,16696,354,1328,117,2875,1697,30137
3083,21818,1220,2825,286,319,5176,750,1050,5,925,4980,1694,48,6027,3139,2897,8143,1,78,7001,344,4519,187,3297,194,12190
3059,8192,856,3198,221,739,5206,2242,2303,808,1728,9674,906,887,3989,3774,283,2428,191,965,10826,296,1806,1384,1867,695,15391
5522,11820,247,1803,113,120,2467,1134,256,0,1521,2856,948,3,4628,1556,904,2475,1,77,4924,457,2471,30,332,1172,9698
3560,50305,404,2079,20,39,6486,154,0,2,83,3134,0,54,13158,1609,12,7601,5,0,0,1,346,48,716,84,8622
1341,12535,173,2987,488,183,4553,1008,1111,37,2383,4385,1261,36,3133,2220,372,2763,487,1904,8477,200,773,1024,1130,1259,15552
2045,13980,150,3023,43,183,4510,1149,862,446,1626,1940,1826,74,5126,1422,290,4816,688,1270,7455,30,872,150,1505,595,17008
5791,18951,558,2511,178,175,8191,221,1474,2,4804,1989,899,42,6547,3357,444,4022,425,2636,10273,72,1463,208,2261,1278,13905
1761,13026,336,1033,19,108,4536,756,184,89,1354,5316,1102,15,2924,1613,697,1619,41,1267,4883,50,1666,55,890,205,8723
3312,9423,196,1186,134,229,1919,489,223,47,1541,3108,668,194,3928,769,385,4080,71,340,4305,588,807,115,624,244,7702
3283,12656,173,4755,153,64,5348,2168,273,6,1197,5488,1922,737,5739,964,245,3013,128,373,7603,232,986,168,682,350,11740
70,55946,136,1050,71,36,2006,69,577,76,467,844,1444,265,16263,962,266,15148,0,137,1536,2,1034,2,214,16,3756
11892,11521,378,3171,492,173,5227,830,1337,51,4241,8037,1047,445,6462,2236,418,7995,180,1999,9384,211,854,460,1758,230,13753
19692,14682,842,2310,157,48,5757,2250,2142,11,1141,8978,1798,252,5920,2729,752,6869,10,191,10987,200,1183,89,1833,247,9559
5390,15202,178,1726,14,90,1505,235,112,586,166,2677,1359,19,6902,871,526,6065,50,120,4063,43,709,85,642,41,5509
2415,23211,1694,2132,293,57,4051,723,301,57,2012,4561,1148,46,7521,4051,569,5044,5,1811,6993,461,1523,42,1281,247,14462
2783,22516,974,4578,83,271,6448,694,343,98,1756,7899,2248,5,13120,4019,521,1772,48,130,12124,480,2436,21,1328,284,19225
1698,11092,621,2582,153,413,6876,713,1240,14,1684,8080,1137,57,4308,1623,479,2268,0,149,8722,136,1847,230,1113,1776,26423
1069,10051,152,1533,30,31,1362,276,267,7,703,923,581,5,2367,609,98,1811,360,353,3195,103,156,13,552,624,10114
4395,15825,230,1110,95,71,2171,519,922,475,3803,2451,1262,13,5049,1527,880,6470,0,1913,6878,130,1683,21,1003,96,7148
