"","Alistipes","Bacteroides","Blautia","Caloramator","Clostridium","Erysipelothrix","Eubacterium","Faecalibacterium","Hespellia","Parabacteroides","Ruminococcus","all_others"
"EM231",5419,7393,1672,376,9044,40,6841,2153,338,712,2345,6431
"EM271",831,2650,305,238,3137,114,1223,1078,172,864,188,7419
"EM278",4833,8207,1789,2236,4427,16,4310,2682,1117,1636,1534,16261
"EM279",6996,14381,2282,438,6771,1049,1942,6977,1616,3554,5217,7772
"EM150",3104,6294,111,142,1399,176,2060,820,14,6030,1014,2631
"EM176",2416,6622,1260,1556,2311,275,2360,2370,322,1429,1685,5081
"EM179",669,14876,222,26,353,88,662,56,0,2203,231,1343
"EM181",1722,3483,799,154,6336,243,1628,1794,14,523,1415,8515
"EM212",920,1171,731,6424,2925,513,282,532,24,2054,905,4735
"EM261",1379,20018,1272,116,1716,2247,617,517,221,1575,646,5282
"EM265",957,11665,990,184,1202,10,4012,1235,80,2219,1367,4111
"EM268",9000,4579,1310,204,2556,305,2600,3151,85,0,745,4216
"EM269",853,11442,440,60,365,96,1039,404,44,1079,425,2680
"EM272",8912,6453,262,934,1443,784,1735,1271,16,1585,267,4371
"EM283",3849,5558,1079,1408,2452,315,1913,1988,230,1305,706,5338
"EM293",12347,9991,569,686,1189,261,653,1289,78,595,1080,2481
"EM323",4433,5572,532,374,2405,595,743,1808,68,530,2172,7425
"EM044",513,3321,533,292,2476,40,2107,2716,266,458,1106,6458
"EM055",2187,4278,600,730,3531,92,1248,3621,919,1689,958,7211
"EM095",1004,2708,903,2512,3647,128,4413,1182,416,2939,793,14788
"EM109",2910,6138,597,350,6562,152,2986,604,79,664,1215,6060
"EM143",876,2035,993,826,5280,88,1201,3250,69,770,927,9439
"EM161",2423,5553,814,5444,2010,201,2569,2394,14,3668,292,5571
"EM198",0,16222,729,510,2069,272,102,100,309,0,533,1031
"EM206",1682,6233,597,522,2562,11,1771,2343,404,2245,676,6600
"EM217",2149,2212,1306,5510,2753,232,1148,1278,215,2540,359,3967
"EM220",2708,2375,423,14646,2039,296,157,56,78,1659,323,3307
"EM247",3469,4598,874,282,2666,48,596,2860,132,1053,2869,16091
"EM248",2850,5540,327,174,2005,1824,227,953,18,3908,94,2596
"EM252",10905,16664,1290,252,4130,178,5376,3761,118,835,1810,11669
"EM274",1559,8321,1206,856,1406,115,2363,1623,30,1753,486,5635
"EM330",1916,5232,1827,11694,3613,2920,942,529,150,0,546,7362
"EM337",165,4306,272,474,5687,193,577,2048,361,854,1475,6676
"EM351",2688,7368,465,344,2958,80,1621,1560,99,1245,107,7242
"EM356",3321,9251,1525,46,868,33,2887,4934,48,2251,368,4045
"EM363",6279,8063,156,60,388,80,670,1711,36,841,1030,4687
"EM017",2056,3757,361,60,1181,16,1782,2148,106,1690,412,2518
"EM054",4899,6882,171,386,4410,298,2420,852,487,2072,763,4958
"EM105",3521,19127,1142,78,1692,328,52,2662,82,3579,34,4186
"EM134",10827,6494,241,96,3050,0,727,1501,253,1471,817,4762
"EM157",4922,16958,875,102,1758,177,1308,1227,270,977,2416,6346
"EM159",725,2477,100,8504,2714,1930,244,53,80,331,301,4838
"EM178",644,2093,203,2332,1678,658,452,1533,290,828,124,2878
"EM190",1652,1674,478,840,2687,793,1087,1360,1788,882,2023,6917
"EM213",2202,8294,457,846,1991,131,1911,2394,13,368,610,5710
"EM215",442,4566,571,154,1981,442,3616,1663,59,2599,1029,3040
"EM219",1510,8052,414,466,993,616,1807,170,42,1994,80,2332
"EM227",2783,5413,155,11800,1327,680,263,440,2512,5383,506,1721
"EM254",10173,8235,339,1684,2923,131,2220,2579,486,556,938,16434
"EM259",6134,2376,404,160,2193,0,1361,2528,1006,2414,513,4955
"EM275",1438,6092,315,416,1994,314,159,1746,51,1335,1152,4610
"EM286",1153,10551,826,78,1037,456,1195,1038,489,3063,96,7532
"EM338",2334,6664,390,652,1899,56,991,2099,236,1374,776,5653
"EM357",3416,3891,451,204,1226,95,334,1449,0,941,1076,4504
"EM364",1252,6782,241,334,2994,24,992,1252,25,1025,605,6669
"EM047",8900,10533,1446,318,764,216,797,2557,27,0,116,2921
"EM060",2651,7516,191,76,530,16,1015,547,343,448,200,2934
"EM094",1547,6708,430,66,457,80,1151,1372,119,952,287,8046
"EM136",4916,6689,151,180,967,224,80,518,19,1982,619,3351
"EM138",1751,7529,708,114,1251,104,1034,1292,49,3011,3100,7245
"EM171",788,783,623,728,1826,580,817,1057,84,209,277,9890
"EM182",3578,3927,246,288,709,18530,567,476,91,390,174,4188
"EM187",1016,21519,560,98,1748,392,790,1956,155,6097,1211,2260
"EM191",3559,2462,538,1436,4909,312,786,1383,167,1533,188,5370
