"Alistipes","Anaerostipes","Bacteroides","Barnesiella","Bifidobacterium","Blautia","Butyricicoccus","Butyricimonas","Butyrivibrio","Caldanaerobacter","Caloramator","Clostridium","Coptotermes","Dethiobacter","Dorea","Erysipelothrix","Escherichia","Eubacterium","Faecalibacterium","Heliobacterium","Hespellia","Kineococcus","Lachnospira","Lactobacillus","Listeria","Odoribacter","Paenibacillus","Parabacteroides","Prevotella","Propionibacterium","Reinekea","Roseburia","Ruminococcus","Selenomonas","Staphylococcus","Streptomyces","Synechococcus","Syntrophus","Thiohalospira","Veillonella","Blattabacterium","Dialister","Streptococcus","Acidaminococcus","all_others"
11546,1288,8872,0,67,739,254,0,2,185,42,2437,273,145,12,28,19,169,3033,742,456,1072,0,1473,129,326,17,10927,0,2,3282,4,469,29,11,29,229,720,0,3,91,0,42,82,5256
784,728,5747,65,222,2000,17,67,78,59,149,4993,769,3657,71,2,75,1808,5413,685,93,1280,5,690,675,26,63,165,857,961,9087,73,757,137,130,0,0,0,936,71,0,1,3,97,17309
7920,1,10838,21,394,1627,88,229,116,41,80,3274,716,1984,42,1,77,2430,5660,2070,588,3561,228,3570,186,112,63,6114,1439,456,5583,214,850,289,194,37,1193,374,36,47,389,181,49,23,5928
1599,651,8220,197,659,2915,107,1,238,28,162,8385,888,948,276,6,6,4513,7844,2264,50,6859,154,2400,806,0,59,1654,837,833,9317,629,3235,34,295,42,2364,955,233,118,0,174,22,2,12763
2627,253,35318,42,7,2170,137,24,159,126,58,5255,125,4871,19,287,292,976,2262,3378,112,1286,167,822,345,208,349,1160,1713,129,9980,90,1596,18,138,0,0,0,0,332,37,0,15,627,5314
404,139,12240,107,340,1603,84,48,85,5,60,3447,535,1744,311,10,297,2124,4267,1724,746,4043,291,1526,589,122,40,2808,290,642,6916,402,3182,34,28,39,951,173,2,162,26,130,64,18,16197
8739,91,4279,753,245,3348,35,0,217,105,68,3388,1032,1575,100,26,48,1898,4602,872,184,3603,19,867,706,107,27,6296,80,295,7596,358,993,58,49,20,1872,429,8,209,156,29,24,62,10329
6453,148,20484,813,277,6649,36,64,3328,215,381,2929,159,1900,134,12,63,2469,4283,1171,196,6436,85,1540,240,253,79,5092,5,587,8459,129,1222,473,40,190,2065,616,302,87,0,48,25,4,8933
1908,341,30313,779,332,2237,47,0,178,208,92,2532,215,1746,149,3,28,4188,2433,1395,80,9122,225,2013,2212,367,128,4403,0,189,8077,608,2409,36,7,21,2717,570,0,147,0,47,4,7,7027
16155,1001,20737,3,236,3804,124,0,333,0,102,3873,199,0,240,39,0,2980,3420,0,73,5173,207,3041,105,6,115,8744,1,0,0,1064,1594,46,0,109,733,140,187,38,0,63,1,7,3790
1062,18,20156,152,309,1010,18,1,145,6,30,1843,356,813,53,12,2631,1220,1438,1647,22,7195,3,724,97,23,19,3465,330,42,2746,658,735,36,129,43,437,43,5,241,96,145,8,169,2366
1176,30,9665,739,188,1911,18,22,34,21,184,5419,1564,1788,38,74,26,2174,5327,761,751,2158,271,1911,325,15,37,1132,495,283,6149,84,1223,211,108,8,1733,376,542,35,18,17,14,70,12230
1221,141,6143,26,831,1333,108,75,126,179,119,4815,923,1989,8,16,87,1583,5290,1207,130,592,27,500,104,31,64,896,636,2256,6577,372,423,775,98,0,0,0,16,133,60,1,31,41,11529
10491,148,13533,226,192,1276,133,0,154,17,467,2827,377,365,91,98,12,1914,2762,1293,8,6620,5,1881,121,587,170,10596,2,379,5186,116,602,326,57,26,1132,208,18,70,24,0,20,16,5974
5870,319,11476,176,150,1330,47,182,922,11,23,2942,765,2937,342,4,167,3914,5457,1317,50,4597,344,1619,576,416,24,3627,0,1946,8082,1316,1684,71,128,26,1214,194,7,69,42,60,123,82,9840
2034,692,23729,43,618,1963,20,49,50,0,428,3283,387,0,1772,17,0,3685,2606,0,17,5952,319,2603,22,187,55,2806,2683,0,0,1444,1034,379,0,29,2003,130,0,82,133,14,16,103,6327
2183,12,18702,333,217,1680,15,317,99,166,208,3301,136,609,22,41,104,920,5429,1679,45,5958,95,1757,170,64,36,4338,3,322,3584,10,2213,22,4935,13,2043,150,60,103,48,0,540,21,5931
8803,709,24163,331,176,1471,118,21,516,138,33,1849,157,1751,16,7,48,2680,3023,1177,25,9292,351,2280,707,225,9,5027,0,291,5564,1442,609,25,164,35,880,686,4,236,13,22,7,1,5982
11252,112,16580,125,3,2487,96,166,229,562,52,5474,722,3623,23,6,238,6330,5220,2568,446,1257,262,444,1771,370,7,1422,258,1069,11960,500,3245,911,163,0,0,0,33,102,49,74,30,1,21280
8372,735,17546,348,649,5025,47,21,1053,235,1118,6897,1340,6257,329,2,27,5638,10521,4599,1100,7793,814,4423,1181,258,51,6033,2090,3617,22081,651,2524,838,200,58,2338,1301,1091,284,90,164,79,10,24843
12188,27,29459,575,867,5780,167,119,345,582,219,11462,902,2211,436,132,44,4927,17256,3824,1581,10313,474,4205,1052,337,113,9731,15,875,12430,123,7993,188,96,78,5329,358,108,197,142,15,372,226,13200
14872,305,63644,602,1000,4200,140,47,2964,0,127,6335,533,1,1040,98,72,2493,5860,0,117,20853,227,3243,47,882,234,19250,7,0,0,3556,2519,50,0,346,4144,477,17,441,71,210,23,1,14880
6545,31,20001,39,180,2427,29,0,86,0,704,2696,1896,0,258,42,41,2907,2272,0,194,4498,142,5287,44,184,55,5342,0,0,0,11,1623,572,0,92,1762,616,27,77,17,47,3,12,6216
0,22,68992,919,743,3597,215,602,243,46,113,5121,17,310,8503,5,38,5890,6716,3492,43,24331,30,4343,216,5,71,14467,5,213,10413,2591,4527,0,90,17,6613,19,0,146,0,3,88,484,7107
2273,130,20577,1,689,1457,139,45,15,60,39,2466,1848,3288,93,57,38,1707,3177,1257,245,9476,7,1746,436,89,15,3290,105,128,5656,262,347,100,36,40,811,126,0,152,353,5,746,647,11917
9397,268,22488,171,387,3610,74,231,71,0,247,5906,821,0,478,72,11,3023,2718,0,83,7165,82,6279,74,467,98,12281,6,0,0,355,1498,379,0,85,2308,137,38,361,10,8,653,12,8389
15158,12,28911,0,3,1964,105,164,340,113,343,2324,322,4159,1,58,19,1093,3290,1326,50,650,201,144,134,116,85,597,0,58,6441,469,1593,11,104,0,0,0,2,15,77,0,34,42,4392
4432,26,19263,172,1684,1562,217,0,52,0,388,4243,100,0,81,1124,0,1563,2887,0,22,4675,1,4529,219,0,7,9138,0,0,0,138,2690,82,0,219,1998,308,7,70,0,4,72,0,7205
4950,49,43787,298,195,1107,31,30,225,14,1030,1540,664,152,52,4,162,1301,3878,1312,73,13398,110,660,200,138,53,6834,1,45,2820,805,810,83,9,199,520,142,9,192,71,3,26,30,3468
2097,33,21407,2,654,3421,74,143,125,0,112,6327,325,0,232,21,2,4517,1535,0,597,7522,253,5167,73,48,203,2473,1178,0,0,82,1193,203,0,158,2349,266,0,146,8,0,5,84,9418
2737,140,13317,154,149,1166,22,72,488,57,229,4603,700,832,330,10,5,1740,4393,1747,31,3838,251,1616,247,73,56,2663,328,762,6176,45,1236,813,29,52,1507,528,47,51,11,147,562,0,7277
7139,280,12918,2136,581,1840,12,545,505,181,187,5477,308,436,129,77,17,1311,3292,3653,55,5736,75,2953,1343,357,111,5894,1,200,5055,275,4392,44,664,85,3102,1638,0,70,178,0,150,90,8669
4541,257,11673,236,759,886,22,26,108,47,701,3348,725,2158,132,16,206,2674,3209,1303,1290,2384,14,2077,1023,57,54,3543,119,1411,7611,234,1179,361,49,74,1252,270,69,84,25,11,28,24,11409
3045,74,14235,26,77,920,92,538,408,15,50,4371,78,1000,23,29,672,288,4479,2036,36,6849,36,1988,113,2,130,9933,659,39,5074,217,1332,20,885,37,2616,175,0,111,1,4,681,22,8001
693,234,6800,23,672,2463,19,30,1034,19,45,2435,558,1092,22,3,8,3083,10344,1960,466,3440,131,2040,427,41,7,561,214,898,8038,607,2073,94,1054,81,887,155,37,143,3,5,34,1,10090
2088,1132,16418,0,177,3658,82,386,64,26,5847,7743,457,1276,1,365,2847,1087,4163,7475,100,1526,49,496,291,1245,12,7,0,488,6115,15,1162,49,22,0,0,0,0,100,0,1,14,152,13041
81,87,13995,0,141,1373,81,17,534,2,125,1598,174,401,229,33,109,3701,5432,3353,419,5165,720,3150,423,65,43,1119,3905,140,6079,1327,1342,13,32,39,555,213,8,243,9,6,1871,264,12437
281,140,16785,17,124,2252,101,29,247,0,237,8288,516,0,1443,25,2,906,2989,0,222,2918,90,4264,80,16,124,2193,2192,0,0,4,1788,113,0,78,580,1527,7,193,0,118,19,81,5603
2526,156,24829,20,344,957,23,79,39,0,326,2339,383,0,169,7,4,1450,3441,0,171,5307,39,2747,29,106,47,3904,82,0,0,101,719,156,0,36,1582,160,30,87,1,2,13,161,5058
8585,407,21104,841,552,1087,62,261,921,11,122,2112,402,700,226,98,33,918,2894,754,75,2542,356,1688,399,384,28,19101,5,173,8499,128,1807,185,5,51,1948,83,2,87,43,14,11,114,6338
4316,3,24413,11,100,1239,57,130,87,12,172,3601,928,4984,16,10,8,1968,3172,861,93,6993,39,1879,726,80,37,5423,524,1456,7524,403,376,328,311,54,544,94,4,156,9,6,11,57,14237
4556,143,20291,81,2160,1641,128,15,492,13,124,8544,400,1824,282,135,58,3419,7717,4742,225,9099,3,789,243,56,12,7435,20,364,4917,2487,12998,29,641,30,3063,191,3,35,159,1,25,48,7013
13005,111,14966,0,190,1400,12,0,12,15,111,2738,279,142,26,142,2,3790,4976,1477,6,6827,46,594,130,301,100,10062,1,1513,4372,359,2254,68,347,20,547,444,0,93,2,22,20,1,8276
6407,212,18595,434,709,2656,14,153,156,75,23,1688,252,369,176,5,78,4732,9763,3994,27,6949,96,1369,464,124,59,4857,966,107,4570,1009,760,44,732,23,1259,188,0,60,23,8,22,0,5438
6331,10,17206,2,295,2026,53,9,207,0,102,1999,60,0,2729,18,3,1085,1522,0,4,4945,4,1823,3,126,11,4903,1817,0,0,13,1661,26,0,31,1301,975,435,45,0,30,3,30,2797
930,34,37414,179,402,2237,50,39,273,0,79,2651,386,0,639,25,5,3018,3305,0,138,6799,12,4666,51,403,24,7042,3453,0,0,519,848,138,0,111,1736,384,2,73,98,111,26,490,4376
1727,170,9694,255,84,5702,22,40,1706,126,435,5351,982,1060,261,6,814,1490,6026,2135,35,5912,89,2125,597,68,49,1927,1023,782,8879,540,895,597,103,20,1157,1922,420,54,148,68,231,0,14310
11955,159,14521,25,291,961,3,447,1,349,30,1957,357,366,5,10,116,835,4831,2140,26,7323,33,1831,897,717,12,9109,47,176,2432,25,2245,47,14,4,479,601,1,46,64,6,23,261,5760
2088,33,19043,44,349,736,71,17,335,108,167,4362,1042,780,170,3,1067,2441,4669,1120,19,5385,276,2103,278,308,16,1889,93,1806,6117,506,1115,596,87,29,1605,428,311,231,11,29,13,3,9975
9419,9,444,0,142,342,19,0,244,73,19,813,150,59,47,8,3,512,902,333,13,528,39,641,265,125,0,7019,0,244,1017,2,738,8,1,17,181,47,0,26,0,6,2,1,1898
0,47,1768,0,485,1378,139,0,25,22,21,3916,348,84,10,967,12,282,5132,1433,189,1210,63,2662,4588,0,5,0,0,483,3250,2,1279,9,299,37,352,151,0,192,0,7,30,1,11039
2033,61,8928,98,317,1384,20,5,78,0,81,2004,195,0,198,10,0,1304,2139,0,100,2684,41,1936,25,45,27,4905,0,0,0,502,1715,36,0,39,506,83,1,59,11,65,4,42,2545
1924,87,9795,97,1106,961,14,0,108,5,26,1902,93,632,70,6,29,1090,3773,550,172,3745,19,457,212,65,13,1839,0,176,2280,147,1270,7,6,8,653,117,9,44,28,15,84,4,4152
906,103,2925,129,50,1677,26,1,416,59,165,1680,391,768,14,28,1,764,2768,694,57,1433,73,627,3948,82,4,1316,303,363,3877,56,467,223,96,17,679,433,140,18,18,63,3850,1,4196
2436,239,20511,41,902,1287,21,1,147,94,48,2463,454,370,58,9,0,1933,3162,1358,2,6793,419,1102,46,270,39,4462,0,34,2574,1329,743,19,2,6,592,106,2,122,34,67,7,119,4587
1195,52,6759,19,523,1044,26,18,182,30,369,3066,1902,1157,215,6,11,1893,4407,1266,222,2233,86,2351,433,104,113,1577,637,1382,6092,54,856,434,26,20,614,256,0,90,84,72,85,45,9064
2180,126,6652,31,265,1059,13,0,316,0,26,1518,382,0,275,2,0,2489,3373,0,20,2321,292,2286,12,46,18,1608,6,0,0,972,2192,33,0,101,1275,130,65,49,10,60,1,2,5990
8975,2,5246,82,404,2440,15,41,60,101,109,3367,1388,2560,1478,29,173,772,2086,958,68,3129,27,1481,557,115,54,4725,250,553,6640,97,910,261,26,100,1169,1352,1,10,497,0,13,201,9835
4041,74,14989,8,312,1213,91,0,67,7,167,1941,256,567,62,16,6,466,2113,689,519,2249,16,813,298,69,22,7100,209,405,3151,119,1206,161,17,19,514,352,4,27,7,8,45,33,3735
2718,10,7891,132,444,2529,53,0,17,66,65,2854,1488,633,122,12,4,1797,4771,1228,189,2406,213,671,570,170,128,3431,6,753,4392,54,1809,79,27,33,1461,250,8,96,96,110,3,41,9429
2361,402,37523,1,237,3027,20,0,373,128,217,2183,2093,1623,108,0,11,4223,5850,969,33,11759,212,1895,1380,3,27,2400,0,527,9432,832,3321,1041,5,215,524,146,0,133,0,54,33,36,10487
2463,255,7861,210,290,3988,55,6,102,24,327,3957,675,1546,155,143,1,1118,6233,1293,7,3357,100,1272,535,17,99,5612,16,784,5932,81,2383,54,17,27,2949,95,74,106,125,51,35,0,11618
4278,115,19998,295,460,1461,33,41,148,251,60,2701,44,2325,617,6,7,2288,3413,1989,1580,6153,344,1505,3339,165,35,3940,83,189,5922,703,5104,7,63,24,1829,207,0,96,0,317,82,0,8216
3660,117,15104,369,351,1020,18,58,131,62,64,1535,51,2374,890,6,3,2824,4230,1829,21,6124,74,445,2087,62,39,3495,33,66,5795,545,4339,34,12,33,1520,150,1,98,0,193,28,0,10478
