"Alistipes","Anaerostipes","Bacteroides","Barnesiella","Bifidobacterium","Blautia","Butyricicoccus","Butyricimonas","Butyrivibrio","Caldanaerobacter","Caloramator","Clostridium","Coptotermes","Dethiobacter","Dorea","Erysipelothrix","Escherichia","Eubacterium","Faecalibacterium","Heliobacterium","Hespellia","Kineococcus","Lachnospira","Lactobacillus","Listeria","Odoribacter","Paenibacillus","Parabacteroides","Prevotella","Propionibacterium","Reinekea","Roseburia","Ruminococcus","Selenomonas","Staphylococcus","Streptomyces","Synechococcus","Syntrophus","Thiohalospira","Veillonella","Blattabacterium","Dialister","Streptococcus","Acidaminococcus","all_others"
1807,80,9078,0,306,4316,54,0,544,25,1256,6876,5417,5797,743,16,22,5443,6256,2222,406,7283,104,2740,190,0,33,6063,0,150,16696,354,1328,117,286,38,2875,1697,1136,43,76,637,19,8,26839
3083,148,21818,466,1220,2825,83,0,286,31,319,5176,750,1050,424,30,5,925,4980,1694,48,6027,106,3139,2897,391,24,8143,1,78,7001,344,4519,187,8,6,3297,194,6,177,422,0,14,176,9678
3059,172,8192,70,856,3198,67,6,221,21,739,5206,2242,2303,165,12,808,1728,9674,906,887,3989,269,3774,283,154,106,2428,191,965,10826,296,1806,1384,39,20,1867,695,46,75,38,173,16,8,13934
5522,16,11820,0,247,1803,14,28,113,17,120,2467,1134,256,7,5,0,1521,2856,948,3,4628,32,1556,904,35,38,2475,1,77,4924,457,2471,30,162,59,332,1172,1,96,104,258,23,0,8803
3560,281,50305,12,404,2079,18,0,20,0,39,6486,154,0,416,41,2,83,3134,0,54,13158,2,1609,12,530,204,7601,5,0,0,1,346,48,0,81,716,84,1,17,56,79,18,0,6866
1341,351,12535,17,173,2987,84,131,488,46,183,4553,1008,1111,51,6,37,2383,4385,1261,36,3133,452,2220,372,80,39,2763,487,1904,8477,200,773,1024,396,13,1130,1259,396,141,0,41,51,70,13187
2045,32,13980,44,150,3023,18,206,43,40,183,4510,1149,862,153,29,446,1626,1940,1826,74,5126,17,1422,290,87,50,4816,688,1270,7455,30,872,150,1832,14,1505,595,92,50,378,197,17,36,13716
5791,380,18951,40,558,2511,132,64,178,334,175,8191,221,1474,27,33,2,4804,1989,899,42,6547,136,3357,444,131,53,4022,425,2636,10273,72,1463,208,151,38,2261,1278,98,288,100,5,8,60,11827
1761,119,13026,108,336,1033,120,35,19,71,108,4536,756,184,12,19,89,1354,5316,1102,15,2924,149,1613,697,237,30,1619,41,1267,4883,50,1666,55,266,66,890,205,20,49,28,6,25,144,7219
3312,20,9423,22,196,1186,13,21,134,73,229,1919,489,223,80,10,47,1541,3108,668,194,3928,55,769,385,174,2,4080,71,340,4305,588,807,115,349,31,624,244,175,144,25,2,47,80,6379
3283,48,12656,154,173,4755,26,33,153,421,64,5348,2168,273,156,3,6,1197,5488,1922,737,5739,60,964,245,236,38,3013,128,373,7603,232,986,168,612,13,682,350,143,27,517,1,487,55,8710
70,110,55946,0,136,1050,14,323,71,11,36,2006,69,577,51,0,76,467,844,1444,265,16263,1,962,266,3,2,15148,0,137,1536,2,1034,2,3,615,214,16,4,308,55,5,2,0,2249
11892,38,11521,802,378,3171,40,59,492,215,173,5227,830,1337,84,79,51,4241,8037,1047,445,6462,56,2236,418,150,107,7995,180,1999,9384,211,854,460,163,68,1758,230,172,122,158,2,29,32,11377
19692,357,14682,206,842,2310,32,21,157,29,48,5757,2250,2142,68,0,11,1141,8978,1798,252,5920,47,2729,752,230,5,6869,10,191,10987,200,1183,89,19,15,1833,247,433,151,160,106,13,1,7666
5390,47,15202,435,178,1726,54,89,14,21,90,1505,235,112,21,28,586,166,2677,1359,19,6902,11,871,526,77,9,6065,50,120,4063,43,709,85,101,14,642,41,2,14,178,1,101,15,4291
2415,116,23211,1,1694,2132,173,106,293,1,57,4051,723,301,152,13,57,2012,4561,1148,46,7521,78,4051,569,234,13,5044,5,1811,6993,461,1523,42,185,114,1281,247,6,49,324,0,143,49,12705
2783,91,22516,6,974,4578,52,977,83,6,271,6448,694,343,517,116,98,1756,7899,2248,5,13120,237,4019,521,0,171,1772,48,130,12124,480,2436,21,6,95,1328,284,0,1138,0,81,76,32,15624
1698,102,11092,211,621,2582,466,0,153,14,413,6876,713,1240,195,11,14,1684,8080,1137,57,4308,671,1623,479,144,84,2268,0,149,8722,136,1847,230,117,91,1113,1776,1264,86,30,147,18,4,22768
1069,18,10051,184,152,1533,10,169,30,46,31,1362,276,267,39,19,7,703,923,581,5,2367,32,609,98,19,13,1811,360,353,3195,103,156,13,93,6,552,624,9,50,110,0,12,1,9284
4395,91,15825,18,230,1110,166,456,95,89,71,2171,519,922,22,22,475,3803,2451,1262,13,5049,52,1527,880,276,29,6470,0,1913,6878,130,1683,21,8,21,1003,96,71,19,108,3,8,0,5689
7464,74,25282,72,794,2750,95,254,461,81,51,2756,540,845,117,23,3,2283,2614,2440,266,13958,81,2385,1399,334,99,11136,0,260,5977,96,3954,469,107,80,859,1068,63,94,32,230,15,48,9640
3930,6,13169,21,372,3073,40,196,475,28,194,3278,703,409,609,304,48,382,4576,1699,6,3179,27,803,185,57,35,4131,406,762,6726,5,1949,56,6,66,1019,79,2,1,209,0,28,32,6972
1038,8,8366,45,44,1884,38,61,94,61,4252,6273,575,466,374,243,39,490,2657,3361,43,4061,1,370,422,66,9,960,6,1520,7051,3,612,320,10,28,626,176,106,16,30,136,603,1,11492
3565,388,14057,319,528,1644,92,41,323,1,2722,5828,308,697,346,26,187,2903,4879,3766,8,6983,51,2179,743,118,212,4310,38,596,6891,68,685,356,65,180,1266,292,2,205,55,22,104,2,10062
4132,4,10267,0,359,331,7,0,47,0,607,1197,87,12,19,63,339,117,1479,569,2,3596,29,367,35,0,30,8213,0,76,668,1,1678,9,2,206,911,1,0,0,0,0,2,3,1447
595,14,11114,4,298,1099,14,96,50,7,2762,3848,1346,331,409,48,1009,725,2829,2041,11,4179,54,1551,298,85,7,1691,0,1102,5070,64,688,144,31,229,537,31,18,64,59,7,53,40,7164
2809,25,11511,50,185,1432,181,414,29,29,152,3219,1305,833,418,93,32,254,3729,2171,73,5688,11,1002,344,87,5,4115,0,678,4912,0,1581,176,427,22,376,68,249,16,45,1,321,0,4691
1544,25,3964,13,438,1603,59,7,97,19,364,2760,762,851,153,90,2,1806,2436,1217,81,1587,30,2206,531,20,4,913,605,149,5410,307,565,436,65,18,305,285,419,21,0,84,14,0,9126
619,169,12863,70,506,2759,25,37,133,9,85,5206,911,1164,16,18,82,3260,6005,1303,2138,4072,88,2660,497,125,31,1764,149,1090,9079,93,794,923,52,19,1754,207,17,111,6,211,28,528,12955
21,174,30513,99,453,1585,19,0,27,12,29,737,134,1050,42,11,23,2266,7788,1177,0,13603,130,1519,176,2,4,633,2,22,3925,1690,458,2,949,39,623,45,0,305,0,377,30,169,4089
4600,341,22247,346,247,2941,65,44,381,64,778,3935,266,1335,18,37,553,4591,6201,1326,292,8975,401,3557,302,89,31,3781,1,612,8890,298,1900,1125,347,44,1989,274,10,174,0,65,63,6,7504
13048,102,12806,134,125,2085,61,70,67,10,1552,5388,186,580,56,14,458,2795,4692,1503,724,5596,63,1952,536,183,28,5014,6,378,5264,55,2109,269,9,163,1021,117,41,83,0,38,139,5,6901
901,2,13445,0,480,685,63,34,7,11,1166,2755,343,924,62,175,807,654,4013,1359,287,3689,4,1451,431,77,176,1647,18,408,3998,3,284,204,21,73,1057,589,0,11,80,30,255,1,4819
678,58,25132,73,252,474,14,0,124,4,13,1250,217,153,12,11,2,835,644,860,7,7466,5,223,15,0,40,6562,0,61,2108,258,381,152,6,11,332,53,0,11,0,26,9,0,1601
2346,473,11363,2,2172,2846,53,0,278,770,77,8088,490,3011,0,33,3,1910,6768,2364,10,2453,35,1015,963,206,180,525,0,705,9668,194,3224,428,14,0,0,0,88,78,0,69,139,15,14078
5222,173,10627,241,0,1461,11,270,1,105,144,2255,342,346,0,2955,60,588,2016,1205,69,370,0,953,16,600,100,552,1,3066,6839,0,281,38,234,0,0,0,0,0,144,3,11,1,9812
10330,54,13245,84,286,2178,165,48,144,0,2012,2887,1649,0,756,17,2,2211,1861,0,140,3543,27,2648,77,35,158,8221,6,0,0,125,2022,314,0,258,639,2871,5,168,115,57,17,2,6388
7169,8,14162,9,266,1382,29,0,58,227,263,3794,470,2330,0,88,356,1629,3311,1484,448,534,150,1474,302,282,18,2205,4,424,5762,41,755,157,39,0,0,0,184,54,34,57,69,3,7113
1037,140,20152,1,33,1240,43,0,84,20,49,3676,240,715,1,49,541,1121,3699,2586,154,1113,93,1122,196,0,361,3348,13,167,3080,591,7665,90,45,0,0,0,9,138,0,2,11,0,4869
11274,124,44364,6,377,484,18,1,62,0,313,3001,914,0,94,700,89,357,920,0,4,7486,90,1905,9,2,73,11823,8,0,0,101,1157,58,0,383,3918,36,0,46,429,0,0,0,2938
4058,33,4749,0,43,1694,18,2,24,21,62,6328,3312,2048,15,16,45,633,2157,1082,909,591,44,308,584,0,31,230,263,431,6950,15,2231,449,445,0,0,0,7,30,419,2,8,0,7940
2470,27,7562,157,568,1123,13,3,169,0,420,6448,1269,0,670,100,0,1702,2195,0,1780,2780,154,4796,19,185,38,3130,345,0,0,208,2713,720,1,98,1147,110,92,67,168,2,43,24,6330
4849,17,10503,4,190,1959,132,212,42,36,718,5777,1658,636,474,39,284,817,6765,1604,166,3073,99,2403,564,36,538,4798,5,364,5256,18,604,205,167,260,593,620,17,75,63,20,18,9,8519
6500,27,10607,5,84,1923,234,241,23,25,1114,7844,1238,2117,8,40,242,1203,6891,1889,200,1395,95,1198,400,61,422,1805,9,551,5909,41,1538,237,82,1,0,0,13,75,79,8,12,2,8911
825,928,13848,12,257,3256,30,85,962,465,27,1959,330,3103,1,8,6,3566,7289,1984,185,1009,238,979,1017,156,53,776,1,388,6431,789,3497,109,43,1,0,0,393,197,4,2,56,0,12190
5757,15,13617,9,225,2151,12,19,122,0,205,3856,369,0,119,27,139,1424,1257,0,92,4180,13,3469,7,307,22,5052,54,0,0,296,2006,1576,1,45,1441,131,125,68,245,2,3,14,4760
1422,9,6181,0,2,977,26,0,12,228,2544,4069,1647,1496,1,21,1053,2657,2610,2899,283,358,0,656,230,0,80,1723,0,314,4696,1,298,398,17,0,0,0,122,0,0,1,5,0,6476
16,9,79142,4,61,1282,25,0,48,4,255,3744,96,380,27,34,170,113,781,1492,163,583,33,1361,994,2,2,7,9,30,1715,36,1263,8,9,0,0,0,0,160,1,0,41,0,2004
232,19,4256,560,1,1264,27,1,41,336,318,2737,1620,2132,1,7,355,1072,1815,1302,1,399,16,511,151,43,30,443,0,116,4942,20,152,1010,0,0,0,0,86,50,15,19,314,7,7973
3478,324,7581,51,28,2420,154,80,43,30,789,5253,577,3254,2,79,944,1738,3782,1347,236,940,82,383,677,24,96,240,722,904,8131,102,1806,132,84,0,0,0,263,162,3,81,18,94,10634
3116,15,19833,182,129,3095,29,35,154,0,73,7212,828,0,178,7,2,3802,1789,0,67,5400,299,5066,43,78,20,2652,3,0,0,173,1746,81,0,32,676,227,5,34,18,26,16,51,4978
1265,36,21103,653,57,1896,40,15,107,54,93,5054,1957,5595,30,2,11,2424,5751,1012,183,456,127,714,788,73,33,985,48,1097,11470,407,4242,123,23,1,0,0,265,66,4,17,41,61,12308
2871,34,18363,333,302,1657,60,5,343,35,261,3368,309,2082,24,4,19,2881,4991,1774,396,5685,245,2088,617,52,19,4508,0,1640,9153,808,1359,11,289,44,1495,96,10,109,95,5,61,29,9589
1203,185,40499,32,9,2294,38,181,125,56,11,2495,184,815,46,3,957,2246,2361,1032,51,305,115,679,728,6,6,700,249,209,3168,1217,11291,5,385,0,0,0,1,76,32,0,21,19,3555
16,582,9353,0,830,967,77,0,7,21,1355,2750,64,5273,1,1,706,224,815,2128,4,627,3,479,134,0,61,2729,1,1500,7281,13,533,32,7,0,0,0,0,41,0,1,21,0,17075
3378,21,4266,10,422,908,1,12,14,191,98,1308,1060,1055,6,42,83,828,548,812,7,299,1,202,165,87,14,907,1,597,3930,9,342,38,10,0,0,0,2,13,92,0,8,28,5484
4450,26,6397,267,241,1088,159,2,204,77,1798,5352,1525,1740,3,328,185,1645,3559,1570,74,1823,24,867,786,117,35,1652,5,1017,9064,23,429,739,26,0,0,0,61,95,369,4,11,4,9836
1048,97,6957,5,260,1985,72,0,12,23,3212,4895,803,495,61,65,1902,663,2371,2620,15,2413,227,4585,2758,49,11,2725,0,3376,6846,14,1209,2422,45,181,790,1009,17,53,61,1,15,16,7060
3692,72,15408,6,386,2150,128,41,131,9,423,3173,659,959,36,19,31,2427,6455,914,11,9455,55,1958,910,120,41,3595,35,114,6461,517,995,69,262,22,730,308,1171,167,142,9,45,129,11475
566,801,10073,0,62,3753,36,231,125,85,265,4109,943,1317,19,20,160,2472,6675,2838,7,1507,71,2828,178,60,58,1255,7255,391,7571,664,2714,92,53,0,0,0,290,120,0,74,38,15,12696
604,134,15264,62,176,1313,19,0,200,131,77,4002,345,744,109,57,194,4223,5355,2977,33,4355,98,2028,455,181,74,5482,0,192,3623,3125,2645,29,904,11,970,350,3,162,0,61,15,2,6397
2678,1,9803,3,67,2654,88,2,268,0,2755,4617,125,0,248,29,12,1237,2802,0,108,4395,80,2713,65,64,18,4659,1,0,0,116,1637,7,1,615,1153,320,19,195,0,0,28,48,3941
1773,9,21540,91,45,718,26,15,164,5,233,2761,143,3697,48,77,394,2427,722,1754,21,331,175,154,170,496,14,1960,0,61,2860,1700,511,20,3,0,0,0,0,139,89,46,11,0,4159
4389,14,9096,4,68,682,177,0,28,29,7323,8770,209,1646,10,37,1267,190,1295,7955,42,809,0,146,992,1,421,1023,2,61,3308,8,2567,40,7,0,0,0,0,38,0,34,11,0,4840
318,12,19634,23,8,513,12,0,98,9,15,1498,59,717,61,41,712,2736,2382,955,0,8999,76,1233,282,11,29,3348,0,69,2279,2062,414,47,219,29,327,36,0,127,1,0,9,61,3104
6218,67,20989,2153,92,3723,171,34,562,96,370,15610,3156,3873,9,3,1463,3862,8889,1627,1149,2022,367,1630,1913,171,106,3735,3,2096,16808,774,1144,1312,30,2,0,0,181,293,148,6,144,78,23451
80,294,16886,120,1866,2545,108,12,1344,63,116,8570,1782,1202,264,46,42,6409,7170,3470,440,5499,537,2674,1600,53,61,1831,4929,3181,13956,1904,8196,726,157,81,8535,251,103,72,0,1,26,180,28132
13149,127,34440,166,266,2660,71,238,157,0,157,15222,1215,0,372,16,0,4496,2769,0,391,7440,177,10388,49,175,72,12553,7,0,0,458,3625,104,0,66,2008,1360,295,135,124,23,20,2,10842
3266,187,16660,118,73,604,28,1,8,26,5900,4951,902,2457,21,85,1098,296,2924,5629,2508,4455,32,4615,165,1,92,8179,0,91,6266,1,907,132,34,4064,1964,33,1,82,92,1,19,16,3080
10225,39,36062,77,9,2282,31,332,406,356,138,5430,1806,9461,81,15,126,9271,5375,3411,519,1062,319,1387,373,303,68,1599,7,2151,22500,707,1930,109,140,0,0,0,717,124,81,1,36,16,20128
3492,510,21902,695,209,4175,27,0,55,184,152,4700,2212,1181,340,11,35,5938,7943,1393,346,7497,50,2237,941,250,17,4207,5,1360,13524,664,1373,210,366,45,1448,354,101,53,23,0,57,11,18440
9624,357,38134,117,813,2738,74,478,60,503,240,9209,1912,7477,7,11,199,5777,3375,2664,201,2390,242,306,639,1012,123,5798,1,3495,18668,29,1651,248,133,0,0,0,1,134,0,71,20,32,20863
5926,588,17453,262,393,3393,135,67,451,33,188,12268,1284,3273,374,5,19,10181,6472,3707,334,8138,342,2384,721,477,81,6015,8,2059,15353,1167,4697,667,603,62,1408,226,85,136,379,7,71,118,14719
1886,68,6124,24,194,585,4,14,40,0,37,1539,307,0,51,23,1,472,542,0,155,1157,25,1384,36,46,8,2487,4,0,0,309,917,21,0,15,389,38,0,77,187,3,2,14,1454
3843,171,15308,1116,1065,400,322,772,15,0,1427,8805,797,0,144,579,9,655,1702,0,27,5883,3,5071,21,276,83,5295,0,0,0,14,855,80,0,91,2024,255,0,58,32,2,4,0,3916
7127,28,37587,0,349,3482,8,243,33,29,7840,8754,1741,4111,386,84,367,1759,3961,10520,501,17084,11,9256,2264,1,184,11220,64,2287,16316,104,466,79,353,3901,1721,98,175,160,0,6,18,1,28421
5908,697,19304,91,672,3105,143,149,970,209,154,7778,563,4353,11,2,1489,6638,14629,2915,818,1238,817,5192,2010,958,20,808,39,1953,13517,272,3611,168,88,1,0,0,139,153,7,65,197,8,16075
3568,7,9302,13,753,3425,54,12,11,9,2467,4635,716,1049,93,674,1620,323,4259,2727,2312,3345,0,633,179,45,61,3474,41,914,9416,11,550,42,415,115,932,45,2,2,304,0,7,10,9537
16573,2,18368,7,431,376,56,2,54,2,2420,4973,127,461,17,142,970,259,836,2542,3124,2932,6,1518,452,14,196,14932,10,194,6131,41,590,101,11,1257,354,95,9,11,44,18,27,1,5809
4947,157,55455,403,164,2011,115,0,519,1253,78,5500,1846,2248,125,13,68,5414,7527,4325,199,2498,86,1847,378,291,109,5666,53,208,16095,2003,2849,201,136,1,0,0,15,269,33,1,29,2,12422
631,65,25684,743,323,3690,162,11,988,0,403,11626,2461,0,501,4,1,3829,1854,0,608,6454,634,8133,72,137,146,1711,3280,0,0,403,1246,482,0,146,1944,2274,1649,212,0,97,30,555,8468
19994,883,25081,0,289,5515,210,0,373,0,298,7527,676,0,1240,408,63,3501,5404,0,34,7414,132,4807,224,0,1122,12699,1,0,0,2549,3352,68,0,245,697,428,0,711,1,407,9,1,4944
