"Alistipes","Bacteroides","Bifidobacterium","Blautia","Butyrivibrio","Caloramator","Clostridium","Coptotermes","Dethiobacter","Dorea","Escherichia","Eubacterium","Faecalibacterium","Heliobacterium","Hespellia","Kineococcus","Lactobacillus","Listeria","Parabacteroides","Peptococcus","Prevotella","Propionibacterium","Reinekea","Riemerella","Roseburia","Ruminococcus","Selenomonas","Synechococcus","Syntrophus","all_others"
2675,6323,78,785,53,174,3839,364,2110,37,0,1152,3084,440,65,2639,759,265,2253,21,22,180,4977,1374,32,1029,82,667,629,5783
3082,10785,1393,954,106,547,2888,768,953,30,11,2506,4243,645,854,4358,2461,473,7155,3,19,482,5739,3,53,374,393,1661,1761,12105
969,19625,504,1020,309,21,2162,132,1789,66,160,2320,21758,1525,19,10246,1688,594,2063,0,2,250,3760,0,683,913,10,1109,283,4056
377,3304,121,6069,90,81,2985,378,888,121,132,1180,5044,1290,38,2821,1476,639,351,13,0,167,6012,406,31,2612,94,238,555,13882
2666,27088,2,149,19,10,541,55,28,58,4,243,595,693,0,13325,316,32,3507,0,0,71,1893,1,2,16,5,704,28,1378
4488,10347,496,4092,657,46,2829,1276,692,153,30,2960,5231,3437,865,5733,2842,659,6475,3,1377,1336,8942,0,578,3847,54,1571,240,16282
351,14031,217,1091,316,29,2852,155,686,35,18,2071,4272,880,380,3953,629,639,458,1,0,535,4315,0,373,832,35,608,90,6644
1961,8343,1739,4588,1868,1134,4073,422,2206,10,63,3786,9946,845,44,8410,4115,631,1499,116,7,238,9870,0,720,2531,109,2645,1142,15568
3051,17733,433,3720,40,33,1393,929,632,117,0,1875,4203,846,119,6499,1114,194,5013,0,0,767,6765,0,98,919,6,1177,520,15300
1807,9078,306,4316,544,1256,6876,5417,5797,743,22,5443,6256,2222,406,7283,2740,190,6063,273,0,150,16696,1766,354,1328,117,2875,1697,27355
3083,21818,1220,2825,286,319,5176,750,1050,424,5,925,4980,1694,48,6027,3139,2897,8143,0,1,78,7001,0,344,4519,187,3297,194,11766
3059,8192,856,3198,221,739,5206,2242,2303,165,808,1728,9674,906,887,3989,3774,283,2428,4,191,965,10826,3,296,1806,1384,1867,695,15219
5522,11820,247,1803,113,120,2467,1134,256,7,0,1521,2856,948,3,4628,1556,904,2475,0,1,77,4924,0,457,2471,30,332,1172,9691
3560,50305,404,2079,20,39,6486,154,0,416,2,83,3134,0,54,13158,1609,12,7601,5,5,0,0,0,1,346,48,716,84,8201
1341,12535,173,2987,488,183,4553,1008,1111,51,37,2383,4385,1261,36,3133,2220,372,2763,145,487,1904,8477,0,200,773,1024,1130,1259,15356
2045,13980,150,3023,43,183,4510,1149,862,153,446,1626,1940,1826,74,5126,1422,290,4816,275,688,1270,7455,9,30,872,150,1505,595,16571
5791,18951,558,2511,178,175,8191,221,1474,27,2,4804,1989,899,42,6547,3357,444,4022,113,425,2636,10273,1105,72,1463,208,2261,1278,12660
1761,13026,336,1033,19,108,4536,756,184,12,89,1354,5316,1102,15,2924,1613,697,1619,885,41,1267,4883,0,50,1666,55,890,205,7826
3312,9423,196,1186,134,229,1919,489,223,80,47,1541,3108,668,194,3928,769,385,4080,2,71,340,4305,3,588,807,115,624,244,7617
3283,12656,173,4755,153,64,5348,2168,273,156,6,1197,5488,1922,737,5739,964,245,3013,89,128,373,7603,0,232,986,168,682,350,11495
70,55946,136,1050,71,36,2006,69,577,51,76,467,844,1444,265,16263,962,266,15148,0,0,137,1536,0,2,1034,2,214,16,3705
11892,11521,378,3171,492,173,5227,830,1337,84,51,4241,8037,1047,445,6462,2236,418,7995,4,180,1999,9384,0,211,854,460,1758,230,13665
19692,14682,842,2310,157,48,5757,2250,2142,68,11,1141,8978,1798,252,5920,2729,752,6869,3,10,191,10987,0,200,1183,89,1833,247,9488
5390,15202,178,1726,14,90,1505,235,112,21,586,166,2677,1359,19,6902,871,526,6065,1,50,120,4063,0,43,709,85,642,41,5487
