"Alistipes finegoldii","Alistipes putredinis","Bacteroides caccae","Bacteroides sp. D1","Bacteroides vulgatus","Dethiobacter alkaliphilus","Faecalibacterium prausnitzii","Kineococcus radiotolerans","Lactobacillus vaginalis","Parabacteroides merdae","Parvimonas micra","Reinekea blandensis","all_others"
335,142,1924,1746,5888,331,2829,4179,1308,520,2810,5070,24819
1735,1072,3130,1535,3431,833,3729,5688,763,3473,2107,4912,21388
788,675,613,1069,1589,851,2436,1587,1620,797,3175,5410,20861
496,122,1266,3910,5849,1164,6005,4072,1325,611,6600,9079,34382
15,3,2172,3852,12079,1050,7788,13603,458,219,852,3925,28985
2416,1400,4058,1641,12835,1335,6201,8975,2750,2912,4774,8890,32994
7885,5162,2388,2416,5638,580,4692,5596,1111,4112,3336,5264,28451
644,210,887,3460,6457,924,4013,3689,705,1012,1089,3998,20444
669,7,4340,3674,11600,153,644,7466,166,4479,615,2108,14224
1722,620,3313,0,6021,3011,6768,2453,0,2,7618,9668,35938
3578,1640,3688,0,5056,346,2016,370,0,0,2457,6839,25125
7155,3127,122,1966,8515,0,1861,3543,2058,7345,1,0,30253
5790,1314,5410,0,3509,2330,3311,534,0,4,2410,5762,26770
1016,19,8174,0,3447,715,3699,1113,0,54,2325,3080,35052
7992,2030,0,8564,21948,0,920,7486,825,5658,0,0,38382
2225,1829,1891,0,1830,2048,2157,591,0,0,4012,6950,24699
1652,204,10,2110,3333,0,2195,2780,4155,2229,2,0,31296
3559,1247,1364,842,6678,636,6765,3073,1257,4125,2672,5256,27803
3783,2645,4194,0,4320,2117,6891,1395,0,121,3908,5909,30035
591,232,6987,0,2444,3103,7289,1009,0,6,4235,6431,35160
3290,2381,55,1440,8366,0,1257,4180,3137,3641,0,0,25654
1345,71,2493,0,2649,1496,2610,358,0,439,2574,4696,24781
8,8,16210,0,16202,380,781,583,0,0,1289,1715,58929
172,60,1707,0,1852,2132,1815,399,0,14,2546,4942,18759
1770,1700,4571,0,92,3254,3782,940,0,9,4973,8131,28753
1888,683,223,2427,12717,0,1789,5400,4737,2400,0,0,30243
1008,254,7069,0,9328,5595,5751,456,3,38,4930,11470,34798
1682,1185,2810,3733,6487,2082,4991,5685,946,2319,3735,9153,33459
630,386,10071,0,13381,815,2361,305,0,13,2124,3168,44563
12,4,5495,0,1729,5273,815,627,0,0,1542,7281,32987
2305,1068,1365,0,1228,1055,548,299,0,16,2453,3930,13032
3724,666,2909,0,2303,1740,3559,1823,0,76,4971,9064,26859
920,127,1002,1414,3552,495,2371,2413,3456,1254,2097,6846,37540
2202,1339,2400,762,9638,959,6455,9455,1291,3363,6051,6461,25695
176,373,6886,0,556,1317,6675,1507,0,247,5343,7571,42042
442,15,1017,2273,4140,744,5355,4355,230,1439,3683,3623,39880
2149,489,0,4043,3758,0,2802,4395,1258,2935,0,0,26058
1510,263,4768,0,10376,3697,722,331,0,0,2175,2860,22864
