"Alistipes finegoldii","Alistipes putredinis","Bacteroides caccae","Bacteroides ovatus","Bacteroides sp. D1","Bacteroides thetaiotaomicron","Bacteroides uniformis","Bacteroides vulgatus","Bifidobacterium longum","Blautia coccoides","Blautia hansenii","Blautia hydrogenotrophica","Blautia sp. Ser8","Butyrivibrio fibrisolvens","Caloramator fervidus","Clostridium botulinum","Clostridium leptum","Clostridium polysaccharolyticum","Clostridium scindens","Clostridium sp. enrichment culture clone 7-25","Clostridium xylanolyticum","Coptotermes formosanus","Dethiobacter alkaliphilus","Eubacterium coprostanoligenes","Eubacterium eligens","Eubacterium limosum","Eubacterium rectale","Faecalibacterium prausnitzii","Heliobacterium modesticaldum","Kineococcus radiotolerans","Lachnospira multipara","Lachnospiraceae bacterium A4","Lactobacillus rhamnosus","Lactobacillus vaginalis","Listeria monocytogenes","Listeria seeligeri","Parabacteroides distasonis","Parabacteroides gordonii","Parabacteroides merdae","Parvimonas micra","Propionibacterium acnes","Reinekea blandensis","Roseburia faecis","Ruminococcus albus","Ruminococcus bromii","Ruminococcus gnavus","Ruminococcus torques","Selenomonas ruminantium","Synechococcus sp. WH 8109","Syntrophus aciditrophicus","uncultured bacterium","Bacteroides sp. WA1","all_others"
2651,1295,3756,385,469,201,27,4953,161,153,11,759,191,113,38,118,72,43,81,82,342,405,376,38,1,504,425,1587,496,7044,113,879,181,339,141,83,78,176,3237,2077,95,3573,47,70,209,111,92,5,954,74,633,909,7957
1490,1066,303,1,861,143,248,3819,66,33,96,368,262,53,174,277,20,130,696,203,313,364,2110,623,151,108,24,3084,440,2639,79,569,118,611,132,133,246,410,1460,1856,180,4977,11,307,232,321,46,81,667,629,912,0,7774
2279,801,2223,12,1460,345,270,4890,1380,16,219,253,462,106,547,42,169,345,231,81,378,768,953,40,16,580,115,4243,645,4358,224,364,751,767,101,372,1936,1511,3171,3923,482,5739,44,52,24,134,25,392,1661,1761,1097,1,14089
888,53,6188,336,2096,1951,510,1852,447,68,186,221,540,309,21,409,112,40,87,178,512,132,1789,19,755,780,534,21758,1525,10246,237,249,1428,187,554,40,3,32,1280,1391,250,3760,98,219,452,19,70,0,1109,283,331,23,11711
194,183,1246,84,216,0,19,1200,59,734,277,2615,2443,86,81,753,127,108,160,760,415,378,888,317,264,258,196,5044,1290,2821,90,2885,652,454,561,78,48,38,262,5964,167,6012,28,13,365,22,1947,82,238,555,1018,254,6451
1375,1279,804,354,5150,5,71,14042,2,6,58,3,81,19,10,79,11,66,17,66,10,55,28,1,64,48,81,595,693,13325,1,86,17,287,17,15,823,0,2682,208,71,1893,2,0,1,1,7,5,704,28,319,708,7174
2419,2069,3338,111,2451,264,503,2550,301,1059,329,327,2259,654,46,276,577,598,273,92,134,1276,692,359,787,124,975,5231,3437,5733,131,746,418,769,325,334,1823,3,3104,7518,1336,8942,315,278,108,73,929,53,1571,240,1319,1,18057
294,56,1198,909,3308,177,509,4635,82,11,208,526,343,316,29,708,87,80,54,96,167,155,686,30,149,392,708,4272,880,3953,22,389,239,363,412,227,46,21,389,2910,535,4315,194,221,187,21,150,34,608,90,175,410,9522
1152,805,1350,38,1313,127,46,3705,1662,1740,522,753,1547,448,1134,170,157,1026,202,142,599,422,2206,517,418,317,820,9946,845,8410,202,2244,1597,595,285,346,121,109,1251,6245,238,9870,621,128,828,158,428,101,2645,1142,2664,34,14311
1547,1063,4841,187,2398,221,300,7112,433,51,47,3191,430,40,33,156,24,224,64,510,42,929,632,135,66,814,198,4203,846,6499,15,2859,120,956,101,93,117,4,3993,4062,767,6765,95,96,296,123,98,6,1177,520,3873,938,9920
1004,803,1078,7,1666,0,66,3032,304,413,385,2612,903,544,1256,606,297,920,389,1297,1203,5417,5797,705,21,2374,648,6256,2222,7283,104,1992,1241,960,88,102,3224,0,1532,11634,150,16696,318,383,384,38,448,116,2875,1697,1017,847,24056
2612,471,2218,172,3124,615,1694,8242,1196,639,412,422,1317,286,319,164,140,416,442,84,455,750,1050,25,1,530,206,4980,1694,6027,106,1055,1322,1092,537,2360,2375,84,4624,5126,78,7001,291,16,3413,205,610,184,3297,194,921,596,16279
1704,1354,2306,93,906,26,41,3015,766,844,109,971,1272,204,739,308,100,381,386,964,489,2242,2303,97,128,127,403,9674,906,3989,269,1578,1020,2211,185,98,300,67,1914,5177,965,10826,257,283,970,47,143,1376,1867,695,4509,52,12595
