"Alistipes finegoldii","Alistipes putredinis","Bacteroides caccae","Bacteroides ovatus","Bacteroides sp. D1","Bacteroides thetaiotaomicron","Bacteroides uniformis","Bacteroides vulgatus","Bifidobacterium longum","Blautia coccoides","Blautia hansenii","Blautia hydrogenotrophica","Blautia sp. Ser8","Butyrivibrio fibrisolvens","Caloramator fervidus","Clostridium botulinum","Clostridium leptum","Clostridium polysaccharolyticum","Clostridium scindens","Clostridium sp. enrichment culture clone 7-25","Clostridium xylanolyticum","Coptotermes formosanus","Dethiobacter alkaliphilus","Eubacterium coprostanoligenes","Eubacterium eligens","Eubacterium limosum","Eubacterium rectale","Faecalibacterium prausnitzii","Heliobacterium modesticaldum","Kineococcus radiotolerans","Lachnospira multipara","Lachnospiraceae bacterium A4","Lactobacillus rhamnosus","Lactobacillus vaginalis","Listeria monocytogenes","Listeria seeligeri","Parabacteroides distasonis","Parabacteroides gordonii","Parabacteroides merdae","Parvimonas micra","Propionibacterium acnes","Reinekea blandensis","Roseburia faecis","Ruminococcus albus","Ruminococcus bromii","Ruminococcus gnavus","Ruminococcus torques","Selenomonas ruminantium","Synechococcus sp. WH 8109","Syntrophus aciditrophicus","uncultured bacterium","Bacteroides sp. WA1","all_others"
630,386,10071,659,0,801,1511,13381,0,574,296,66,1252,125,11,1606,236,14,114,51,112,184,815,40,706,13,1354,2361,1032,305,115,202,213,0,68,660,293,120,13,2124,209,3168,1116,3,3411,7158,570,3,0,0,166,638,18861
12,4,5495,440,0,6,61,1729,3,57,368,19,521,7,1355,81,373,1,87,20,48,64,5273,2,154,53,2,815,2128,627,3,71,338,0,80,54,2720,3,0,1542,1500,7281,0,277,41,48,7,32,0,0,7557,0,14406
2305,1068,1365,1,0,687,71,1228,0,17,20,811,58,14,98,207,99,193,129,24,69,1060,1055,8,0,703,11,548,812,299,1,781,133,0,82,83,389,483,16,2453,597,3930,5,5,135,102,21,36,0,0,400,18,4669
3724,666,2909,1,0,329,62,2303,0,57,35,759,232,122,1798,152,83,916,168,42,404,1525,1740,33,18,298,34,3559,1570,1823,24,819,100,0,65,721,710,847,76,4971,1017,9064,14,3,38,138,76,733,0,0,298,0,12618
920,127,1002,0,1414,33,30,3552,213,16,365,873,731,12,3212,438,156,469,753,42,47,803,495,171,42,204,27,2371,2620,2413,227,711,667,3456,75,2683,885,585,1254,2097,3376,6846,13,94,514,430,77,2412,790,1009,514,288,10933
2202,1339,2400,33,762,11,1664,9638,309,169,151,1373,457,130,423,219,77,603,177,564,421,659,959,320,153,79,519,6455,914,9455,55,1713,356,1291,243,667,28,171,3363,6051,114,6461,513,400,207,22,162,56,730,308,1716,556,8253
176,373,6886,84,0,68,866,556,0,742,383,814,1784,125,265,624,161,1088,560,147,487,943,1317,1007,132,70,576,6675,2838,1507,71,1079,776,0,41,136,574,6,247,5343,391,7571,467,1141,9,119,377,92,0,0,401,117,22481
442,15,1017,1337,2273,141,205,4140,159,300,84,358,571,197,77,949,23,345,915,101,28,345,744,173,307,321,3237,5355,2977,4355,98,552,1688,230,407,48,3324,7,1439,3683,192,3623,3063,281,1011,613,569,29,970,350,1250,1864,10414
2149,489,0,4,4043,508,245,3758,42,931,231,181,1306,268,2755,483,0,39,1702,152,180,125,0,1,27,80,554,2802,0,4395,80,399,788,1258,65,0,808,820,2935,0,0,0,101,11,18,402,1025,1,1153,320,1701,488,8064
1510,263,4768,235,0,577,136,10376,0,140,113,40,414,164,233,1076,235,114,204,1,340,143,3697,0,328,36,1958,722,1754,331,175,341,133,0,13,157,1945,14,0,2175,61,2860,1671,25,39,87,358,18,0,0,821,287,8478
2708,1675,2709,431,0,3,450,3205,0,34,27,103,423,28,7323,2912,106,165,1576,238,82,209,1646,0,0,139,12,1295,7955,809,0,1061,74,0,174,818,357,640,10,1190,61,3308,8,3,296,1359,585,38,0,0,1069,1,10226
185,133,7142,375,1885,54,236,7639,5,3,6,0,503,98,15,191,128,12,285,110,3,59,717,57,993,3,1567,2382,955,8999,76,281,440,755,278,4,618,1099,1617,510,69,2279,1199,26,2,124,229,1,327,36,1810,1,6349
4159,2056,6591,504,0,527,1071,7329,0,261,305,2386,762,559,370,1582,1183,1009,562,621,673,3156,3873,444,504,340,1496,8889,1627,2022,367,2607,667,0,1322,591,1544,1100,232,10906,2096,16808,736,221,253,209,285,1285,0,0,3352,245,30847
78,2,6685,243,1890,13,192,4997,888,721,146,575,1036,783,116,2658,475,680,296,189,2071,1782,1202,284,917,440,4006,7170,3470,5499,537,1234,521,1384,74,1526,43,274,1041,9555,3181,13956,1393,440,7048,202,215,693,8533,251,7452,0,26922
8550,4598,21,245,7180,1,1379,17829,260,470,136,859,1150,151,157,919,0,717,129,341,3283,1215,0,883,968,1306,547,2769,0,7440,177,2019,509,9552,49,0,642,1496,9876,0,0,0,452,1661,593,41,465,94,2008,1360,2152,7,32900
2783,477,1734,0,2956,703,2114,7273,72,24,68,356,155,8,5900,448,156,103,315,27,485,902,2457,1,16,69,131,2924,5629,4455,32,387,4272,285,106,59,3059,1288,2912,1192,91,6266,1,58,460,165,73,125,1964,33,274,274,15975
6484,3719,13204,439,0,4,4388,1941,0,342,139,1028,760,406,138,725,260,1411,183,175,274,1806,9461,1838,2443,922,1436,5375,3411,1062,319,1060,754,0,28,345,1352,94,113,7521,2151,22500,689,285,784,330,93,54,0,0,3408,304,33262
2638,428,1190,2441,11417,11,773,5090,122,249,285,3029,603,49,152,424,122,461,266,265,471,2212,1181,596,72,4054,662,7943,1393,7497,50,3198,1034,1087,314,627,9,4,4194,10026,1360,13524,546,457,643,78,68,210,1448,354,940,307,12785
6953,2660,18867,3798,0,719,1227,2474,0,48,139,2196,354,60,240,1169,97,797,322,337,176,1912,7477,597,454,1369,314,3375,2664,2390,242,3103,272,0,298,341,3355,75,367,11226,3495,18668,11,58,1024,151,196,248,0,0,1531,272,31730
5419,478,1267,198,1628,251,1280,8980,258,471,304,860,1672,446,188,168,1794,919,363,262,1034,1284,3273,579,463,1623,4052,6472,3707,8138,342,1096,340,1682,155,566,710,1,5304,8865,2059,15353,1068,58,1908,1762,294,646,1408,226,949,709,23663
1422,294,1,82,854,202,268,3296,71,52,107,209,217,40,37,1053,0,49,159,16,30,307,0,35,2,49,333,542,0,1157,25,262,776,579,36,0,366,527,1582,0,0,0,298,28,831,3,31,21,389,38,125,0,3937
2228,1615,930,19,3169,0,203,6817,1065,46,29,39,286,15,1427,852,0,189,908,349,21,797,0,0,0,303,11,1702,0,5883,3,169,766,3224,21,0,775,462,3816,0,0,0,1,93,60,496,96,76,2024,255,706,129,19561
6852,258,8450,831,7719,39,22,8780,348,177,70,2774,423,33,7840,343,4387,320,1312,175,71,1741,4111,1487,1,90,74,3961,10520,17084,11,2928,4932,3412,1550,714,0,1275,9863,5428,2287,16316,65,19,120,133,105,65,1721,98,8948,0,32844
3786,2117,5683,25,0,1227,655,3826,38,714,299,466,1582,394,154,911,903,965,285,431,1651,563,4353,483,922,1667,910,14629,2915,1238,817,1854,1554,0,287,1723,276,413,25,8430,1953,13517,123,168,1305,1435,105,156,0,0,1877,198,28012
2463,723,281,19,1071,418,270,4647,144,37,19,3158,196,11,2467,386,113,175,649,96,62,716,1049,7,7,241,10,4259,2727,3345,0,3143,158,327,158,21,830,532,1957,3772,914,9416,9,2,195,286,35,25,932,45,367,10,15217
8789,7751,1916,423,546,26,13,14137,155,70,36,136,130,50,2420,120,53,195,402,89,22,127,461,19,11,127,25,836,2542,2932,6,157,1043,313,112,340,34,917,10380,4323,194,6131,20,13,86,428,14,95,354,95,256,30,16674
2839,2104,28266,909,0,1,4566,7309,0,285,16,885,805,519,78,1110,378,755,426,324,362,1846,2248,597,619,165,3505,7527,4325,2498,86,1192,788,0,212,166,2948,2433,144,6844,208,16095,1474,945,388,86,133,161,0,0,452,876,26661
568,58,79,159,10089,10,225,11989,307,664,43,2022,953,475,403,407,0,1005,193,486,632,2461,0,243,868,1212,437,1854,0,6454,634,2605,359,7544,72,0,272,219,1186,2,0,0,107,425,422,34,15,477,1944,2274,1992,88,27962
15229,4765,1,1,2142,1,0,22404,289,968,1524,59,2947,373,298,1672,0,409,440,1759,1057,676,0,2,14,1509,1793,5404,0,7414,132,943,921,3636,224,0,1,0,12697,0,0,0,1153,1055,803,137,1326,38,697,428,77,0,13915
639,24,5967,2591,2808,1263,2333,4681,29,55,46,482,235,7,158,57,148,265,104,97,1169,200,480,225,641,33,230,1615,1085,9206,238,717,270,368,130,179,2625,737,3297,2233,87,6389,111,12,468,25,94,17,1010,162,1322,221,10456
101,49,4015,133,1054,365,739,4407,323,72,265,354,414,60,304,426,182,323,259,143,146,4696,390,13,0,742,21,6185,1052,6374,2,1018,575,230,564,56,506,4,1204,3109,658,8368,0,6,938,93,840,217,635,236,643,1,15057
1448,1150,4191,173,1590,798,1547,2481,1148,438,39,1382,746,165,176,1367,50,251,534,238,952,312,1286,116,110,184,1932,5087,2280,5723,175,1135,1102,1391,143,42,1204,304,2922,2717,142,5220,1682,15,78,46,330,139,1332,426,1078,335,9821
42,8,2161,216,2311,10,446,2737,379,188,48,720,334,61,156,111,242,359,98,308,205,979,1928,30,526,286,579,4577,2861,1767,532,793,741,682,35,355,8,0,378,3293,702,6081,295,123,98,83,65,170,604,745,2715,3,13594
3469,1518,2903,139,1918,33,475,8129,590,145,477,1291,874,44,141,802,297,495,344,248,84,1710,4066,51,108,189,281,7495,2523,5638,500,1636,1357,707,1104,180,515,95,9043,3659,383,8263,40,2179,1116,61,112,131,1432,516,4831,4,19267
2850,451,2849,3,1791,3,147,11031,75,29,212,851,327,46,87,291,88,959,487,32,44,417,1290,718,38,151,32,2129,1177,5834,12,848,171,647,75,167,316,1773,3333,1751,151,3741,31,14,25,48,44,192,1302,279,386,548,8405
6073,4391,2033,1213,3088,72,634,9011,505,806,371,2424,1702,656,637,222,218,444,452,975,807,3091,3058,348,495,221,1712,8363,2004,8063,459,3582,1049,4254,418,939,1029,753,6315,10638,2340,17652,354,395,998,327,278,2162,3961,461,2990,317,19983
10905,8247,7310,26,5062,2605,1572,10835,615,404,285,1537,1290,143,126,1140,413,698,343,814,2154,611,4257,99,307,1415,1468,8331,2976,16338,907,2327,1151,2197,744,673,8,683,10574,8107,2830,17083,651,59,2190,368,359,2950,2019,419,1750,1824,20775
4066,2733,7612,95,0,300,731,1740,51,140,132,817,1032,1436,120,521,230,4487,899,287,273,1960,2713,3219,1486,237,787,8441,3473,2020,405,1097,876,1,249,201,629,1009,34,6025,542,10087,300,774,1356,1107,361,177,0,0,563,103,34453
10173,5612,7974,797,0,3,1305,12654,0,14,78,1674,339,531,842,1007,367,874,344,643,558,1299,9835,851,1880,1319,282,7117,2612,1216,291,3145,513,0,381,934,259,274,1,7797,2603,17423,40,98,1392,165,154,597,0,0,6380,474,22442
7184,4273,151,2,1971,0,109,6275,35,69,239,2,374,2,42,270,19,2,727,139,114,273,145,1,2,59,14,3033,742,1072,0,1289,389,335,118,11,632,386,8073,1999,2,3282,0,0,176,105,136,29,229,720,60,0,9207
395,389,3654,44,0,105,62,1317,0,87,274,1066,526,76,149,369,208,223,223,354,539,769,3657,238,49,350,164,5413,685,1280,5,1566,441,3,264,411,4,17,107,5354,961,9087,32,553,54,101,5,114,0,0,5319,24,13740
6134,1774,1724,208,1569,69,174,5822,93,155,165,900,404,116,80,199,106,567,178,194,225,716,1984,304,700,685,542,5660,2070,3561,228,1235,234,1738,103,83,803,761,4296,2726,456,5583,50,42,298,26,193,282,1193,374,547,234,10972
824,523,2673,63,772,311,171,1764,543,184,100,2110,487,230,162,847,77,2240,881,417,344,888,948,1036,209,905,791,7844,2264,6859,154,2432,1147,995,623,183,2,162,1490,6715,833,9317,574,54,1976,95,149,17,2364,955,970,315,15217
1379,1248,13789,377,0,1554,2480,5616,6,235,602,55,1272,159,58,694,71,99,254,514,420,125,4871,52,212,27,408,2262,3378,1286,167,547,774,0,222,123,659,408,70,1595,129,9980,69,11,4,617,550,18,0,0,831,1928,20998
246,157,1886,355,1640,1761,121,5753,261,90,268,445,793,85,60,578,1202,117,197,119,333,535,1744,42,106,540,587,4267,1724,4043,291,489,351,783,242,347,135,756,1648,3762,642,6916,323,458,1332,96,360,32,951,173,1157,140,17626
4508,4225,273,66,962,219,8,1999,222,34,68,3092,150,217,68,287,98,792,237,1135,95,1032,1575,725,51,193,363,4602,872,3603,19,2204,257,558,607,99,988,2,5300,5225,295,7596,237,256,427,67,33,58,1872,429,496,121,7227
3319,3134,3081,1171,1978,518,161,10919,275,2542,159,896,3051,1211,381,59,212,375,176,254,577,159,1900,63,199,545,545,4283,1171,6436,85,1034,406,1117,131,109,1478,1,3613,5375,587,8459,69,306,193,90,439,468,2065,616,429,368,12195
957,951,2710,898,1761,590,502,21037,294,624,254,363,990,67,92,675,47,108,163,204,664,215,1746,94,68,133,672,2433,1395,9122,225,498,888,1113,676,1536,2393,0,1753,4440,189,8077,600,383,944,111,491,36,2717,570,1073,624,10494
9000,4054,0,2,1953,1,0,12637,236,759,258,1457,1310,333,102,618,0,765,362,372,780,199,0,308,12,597,1356,3420,0,5173,207,1740,291,2668,105,0,0,0,8743,0,0,0,641,66,585,16,677,20,730,140,175,1,16019
853,161,4803,392,2409,946,93,5235,287,241,116,182,440,145,30,641,646,88,92,94,127,356,813,45,40,65,1015,1438,1647,7195,3,210,438,263,33,64,1047,380,2031,549,42,2746,526,4,297,138,80,17,437,43,828,616,11629
636,436,733,64,3114,32,86,4090,149,341,47,1070,452,34,184,181,45,706,297,411,108,1564,1788,415,568,363,108,5327,761,2158,271,1178,533,610,119,206,12,34,1055,3323,283,6149,81,57,383,363,350,204,1731,376,749,34,17213
831,389,3129,28,0,111,436,503,0,96,50,852,305,126,119,598,95,454,263,105,218,923,1989,124,171,343,418,5290,1207,592,27,1063,166,4,33,71,143,221,36,3872,2256,6577,304,49,155,37,83,766,0,0,1090,400,14432
8912,1501,969,437,1579,11,986,8191,190,111,14,873,262,154,467,752,61,330,300,240,216,377,365,2,86,1635,52,2762,1293,6620,5,276,196,1629,67,54,156,1036,8534,2573,379,5186,42,14,126,288,89,310,1132,208,1699,331,6461
3507,2316,909,200,1299,385,26,3950,150,34,255,516,524,921,23,472,356,978,81,149,176,765,2937,339,162,70,1158,5457,1317,4597,344,781,527,1034,338,238,349,123,3148,2337,1946,8082,1016,1078,236,49,90,53,1214,194,3645,446,13641
1559,475,1083,265,3952,154,13,14122,547,158,247,340,1206,50,428,1030,0,172,708,154,132,387,0,187,1065,37,2210,2606,0,5952,319,941,1293,877,22,0,1,652,1714,0,0,0,1402,61,425,20,391,17,2003,130,483,100,18097
1438,456,3919,467,1262,353,788,8024,195,147,128,1090,315,99,208,979,81,1387,314,170,89,136,609,715,27,91,37,5429,1679,5958,95,1203,531,221,116,54,205,536,3523,1570,322,3584,6,139,1409,373,125,20,2043,150,788,372,14930
4592,4113,7837,1164,2556,26,45,8389,159,60,350,146,856,516,33,311,65,88,65,235,170,157,1751,97,388,280,1632,3023,1177,9292,351,442,497,1505,481,226,684,216,4082,1237,291,5564,961,71,131,49,276,18,880,686,1863,447,10577
6032,5214,6500,174,1,523,1474,1139,0,167,256,1188,868,219,52,1262,177,1027,307,139,925,722,3623,192,589,2641,884,5220,2568,1257,262,1403,422,0,543,1228,833,521,23,7021,1069,11960,331,4,2150,501,253,867,0,0,631,154,26231
4833,3538,2751,305,1659,1257,106,5811,562,715,309,2051,1789,703,1118,783,413,743,418,615,1025,1340,6257,490,711,273,896,10521,4599,7793,814,3437,968,2998,617,564,1198,530,4231,9046,3617,22081,344,489,1155,75,90,746,2338,1301,3957,269,29985
6996,5174,7119,793,3757,623,652,5483,832,1205,612,1643,2282,345,219,2219,317,2258,620,704,576,902,2211,1968,822,726,732,17256,3824,10313,474,2595,1482,1397,924,128,55,1262,6769,6005,875,12430,107,235,2484,1766,1267,183,5329,358,739,1288,30574
8482,6322,25,4341,9544,769,753,35001,832,83,492,1810,1805,2964,127,2963,0,1884,331,544,26,533,1,972,707,275,453,5860,0,20853,227,2565,1180,1967,47,0,1967,1800,14023,0,0,0,2054,10,1108,46,1194,45,4144,477,4330,1312,29315
3849,2695,0,225,5056,602,14,7648,157,639,233,450,1079,54,704,121,0,810,276,8,25,1896,0,620,129,319,216,2272,0,4498,142,660,367,4314,44,0,995,0,4177,0,0,0,7,264,430,66,564,569,1762,616,2142,0,15287
0,0,9801,5832,16663,9416,4333,2290,389,614,668,2,2297,243,113,1218,602,74,1245,270,29,17,310,0,1416,127,4136,6716,3492,24331,30,137,1355,518,182,34,8918,19,1293,4457,213,10413,1975,26,2627,235,1200,0,6613,19,496,4122,40481
1153,1120,6836,85,2777,157,45,7626,245,17,337,271,826,15,39,181,309,252,466,780,73,1848,3288,225,0,76,1099,3177,1257,9476,7,763,496,581,431,5,384,977,1910,2187,128,5656,254,22,9,122,154,61,811,126,1118,165,15945
7515,1841,206,0,3275,1745,598,12779,379,429,66,2225,747,71,247,1072,0,1643,1073,221,771,821,0,605,13,1405,641,2718,0,7165,82,2001,869,5123,74,0,1164,636,10023,0,0,0,114,9,983,41,271,358,2308,137,1601,591,14973
12347,2811,9379,484,0,694,156,12109,0,108,263,1020,569,340,343,245,92,104,345,98,113,322,4159,0,342,120,409,3290,1326,650,201,994,87,2,52,82,28,9,526,2211,58,6441,136,632,349,183,163,11,0,0,348,2283,7886
4241,174,1,164,3018,937,28,9846,416,122,224,466,714,52,388,1321,0,488,446,101,88,100,0,0,9,1289,199,2887,0,4675,1,995,705,2988,219,0,3174,4,5765,0,0,0,67,38,2183,154,183,24,1998,308,1735,107,16225
2811,1603,9029,1731,5851,355,3911,16343,153,261,36,364,439,225,1030,136,21,100,325,101,72,664,152,8,43,321,711,3878,1312,13398,110,458,64,460,46,154,677,699,4871,1615,45,2820,580,589,7,53,80,12,520,142,278,3723,8464
1316,780,0,39,2335,1,895,12985,622,307,86,2383,612,125,112,523,0,1780,663,439,859,325,0,1196,126,335,1681,1535,0,7522,253,4867,511,4126,73,0,116,0,2065,0,0,0,38,290,151,17,635,106,2349,266,1481,4,16466
1456,1043,2240,186,2622,131,216,5706,132,49,14,848,221,485,229,142,20,1536,98,230,589,700,832,445,290,288,60,4393,1747,3838,251,1059,661,842,71,176,348,60,1612,3417,762,6176,36,229,684,25,80,750,1507,528,466,4,10748
4433,2703,1420,870,2750,165,1435,1373,472,10,293,999,532,505,187,1960,134,51,586,83,402,308,436,1,153,205,731,3292,3653,5736,75,1155,1326,1207,1241,102,641,57,5057,3275,200,5055,234,0,3968,96,173,22,3102,1638,1929,4,16223
2455,2085,587,45,3211,1,177,4589,172,59,64,426,337,103,701,563,73,471,107,118,44,725,2158,440,242,1312,247,3209,1303,2384,14,722,658,971,377,646,415,150,2837,3629,1411,7611,183,28,830,215,8,356,1252,270,2968,0,13947
2377,569,4538,41,1285,273,743,4293,58,120,86,279,406,408,50,432,26,83,1064,228,421,78,1000,0,75,31,96,4479,2036,6849,36,627,610,1333,79,34,7178,1,2734,2728,39,5074,17,80,3,743,377,20,2616,175,714,7,13880
398,294,2428,3,2602,126,111,748,378,391,191,205,1529,923,45,133,37,292,377,156,502,558,1092,555,2,272,1133,10344,1960,3440,131,1141,570,1320,386,41,49,24,473,5896,898,8038,86,203,798,280,124,35,887,155,988,89,9276
1916,170,5155,10,0,6,2990,7187,0,664,200,956,1827,64,5847,1492,86,88,1590,97,570,457,1276,4,11,819,110,4163,7475,1526,49,647,420,0,110,181,4,0,0,4834,488,6115,14,10,405,91,499,48,0,0,2756,5,16745
60,21,6358,60,818,101,410,2367,125,135,7,769,370,533,125,66,113,264,203,291,268,174,401,63,1,544,2795,5432,3353,5165,720,1029,476,2042,228,195,377,3,551,3396,140,6079,378,37,357,144,149,12,555,213,1526,76,21040
165,116,1327,125,5928,734,60,5989,65,122,56,1794,272,247,237,418,0,687,252,452,527,516,0,93,130,356,140,2989,0,2918,90,2059,234,3869,80,0,119,48,1344,0,0,0,4,418,101,334,111,109,580,1527,491,0,18868
2334,186,446,422,4288,302,170,14026,204,285,15,267,390,36,326,173,0,640,100,63,339,383,0,31,86,534,238,3441,0,5307,39,484,356,1904,29,0,722,1,3008,0,0,0,6,12,187,4,24,144,1582,160,693,367,13897
5923,1222,2619,74,7513,457,640,9326,531,179,232,178,468,919,122,438,28,145,178,63,164,402,700,2,17,182,383,2894,754,2542,356,415,96,1362,50,349,7591,141,6930,2127,173,8499,5,36,1408,66,61,183,1948,83,2332,3,12694
2688,618,2895,614,2629,1611,1238,10551,55,127,82,349,465,87,172,243,12,351,165,102,102,928,4984,167,60,223,615,3172,861,6993,39,480,595,892,78,648,563,456,4394,2504,1456,7524,304,8,51,49,117,316,544,94,5027,14,18367
3272,1151,1350,88,1285,179,697,11563,1527,390,334,72,840,492,124,5563,80,1274,410,193,118,400,1824,177,273,114,2723,7717,4742,9099,3,441,207,465,156,87,3838,48,3545,4449,364,4917,2278,1423,10822,234,448,29,3063,191,306,8,11263
7333,5669,4821,85,3334,7,168,3642,94,297,89,563,450,11,111,1011,140,459,276,228,32,279,142,143,83,1580,411,4976,1477,6827,46,545,150,391,44,86,1,707,7836,3745,1513,4372,355,20,1792,30,119,40,547,444,296,81,11903
3321,3065,6489,371,2328,295,854,4954,179,647,187,249,1525,153,23,532,16,283,94,111,290,252,369,197,42,553,3207,9763,3994,6949,96,485,739,488,307,157,128,895,3318,2258,107,4570,233,1,541,24,24,26,1259,188,381,60,12132
3416,2907,9,346,2664,78,66,12575,283,204,7,1343,451,202,102,81,0,858,25,669,260,60,0,340,364,152,67,1522,0,4945,4,1718,95,1370,3,0,435,16,3958,0,0,0,10,591,419,14,164,21,1301,975,319,321,9164
565,364,4190,112,7771,573,36,17218,219,126,35,1631,422,273,79,429,0,193,324,174,506,386,0,205,528,56,1760,3305,0,6799,12,1985,2472,1623,51,0,483,2162,3630,0,0,0,22,109,377,38,161,113,1736,384,882,5,21367
1062,654,2119,1375,1217,49,483,727,52,1448,88,2482,1677,320,435,244,239,505,150,364,755,982,1060,30,147,287,559,6026,2135,5912,89,2878,640,1331,95,502,214,514,1170,6925,782,8879,493,378,311,56,98,592,1157,1922,1694,3,16088
6279,5674,3821,95,2246,1,896,3463,197,37,54,650,156,1,30,973,269,39,134,220,29,357,366,1,26,43,573,4831,2140,7323,33,750,1346,227,885,12,528,28,8440,1614,176,2432,25,83,1805,131,117,15,479,601,1662,14,9266
1252,825,3499,192,1987,361,307,9447,259,87,35,373,241,335,167,353,205,1139,230,179,809,1042,780,911,259,169,498,4669,1120,5385,276,548,405,1469,133,145,850,15,1015,4604,1806,6117,139,371,292,23,224,579,1605,428,2035,4,11692
7921,1474,30,0,48,0,0,347,142,6,121,9,201,244,19,303,4,61,257,41,8,150,59,2,5,7,4,902,333,528,39,392,223,388,198,67,1,69,6949,730,244,1017,1,2,610,41,8,7,181,47,88,0,1845
0,0,1166,0,268,0,0,325,395,584,8,0,523,25,21,41,47,5,797,9,40,348,84,0,114,1,7,5132,1433,1210,63,667,613,752,215,4373,0,0,0,1819,483,3250,0,2,172,788,34,9,352,151,5737,0,9859
1218,815,76,28,3399,364,300,3812,236,460,87,136,698,78,81,457,0,82,171,107,236,195,0,82,88,44,1004,2139,0,2684,41,299,600,1015,25,0,1949,968,1463,0,0,0,136,354,508,5,354,33,506,83,765,54,6046
1270,651,1200,252,1444,312,387,3267,952,39,126,288,506,108,26,791,156,168,240,169,81,93,632,70,206,113,492,3773,550,3745,19,601,177,262,34,178,138,7,1521,1487,176,2280,114,276,717,18,239,7,651,117,97,18,6730
536,222,614,156,443,88,6,842,48,373,123,421,741,63,165,284,11,188,58,45,239,391,768,126,3,130,53,2768,694,1433,73,499,114,470,3868,80,40,1,977,2203,363,3877,14,108,41,15,178,220,679,433,582,115,8926
2221,214,2869,642,1918,289,304,9500,673,206,141,351,563,147,48,326,199,93,243,226,94,454,370,1,38,612,1038,3162,1358,6793,419,459,459,289,17,29,325,19,3314,1819,34,2574,578,41,327,24,309,11,592,106,400,214,11818
660,534,1382,41,530,641,395,2926,299,67,208,117,642,182,369,554,23,110,247,92,249,1902,1157,834,31,317,278,4407,1266,2233,86,396,973,693,121,312,205,531,810,3150,1382,6092,49,433,11,47,47,430,614,256,2493,43,9281
1184,995,29,78,879,342,106,1414,78,146,36,364,471,316,26,120,0,578,158,71,384,382,0,584,292,136,1051,3373,0,2321,292,492,623,1458,12,0,131,94,1280,0,0,0,909,515,632,14,142,30,1275,130,1279,1,11037
4711,4164,1070,108,1111,176,318,1207,154,11,96,2012,320,59,109,247,39,654,165,199,628,1388,2560,18,36,474,96,2086,958,3129,27,1772,561,670,408,149,272,13,3809,3007,553,6640,31,137,612,54,61,182,1169,1352,1478,10,11135
2067,1555,868,109,2051,219,206,9633,231,233,144,333,497,65,167,379,23,111,175,48,319,256,567,13,98,102,125,2113,689,2249,16,367,402,391,202,96,3779,17,1987,2149,405,3151,118,454,307,43,201,148,514,352,270,3,7200
1706,404,1140,113,1050,288,244,4111,299,218,301,1075,815,17,65,340,77,279,230,176,770,1488,633,34,45,811,119,4771,1228,2406,213,1680,466,183,347,223,325,146,2079,4000,753,4392,47,437,650,51,229,78,1461,250,637,282,9133
1199,1162,1130,2833,3529,1,1777,21775,234,1333,118,42,1532,373,217,296,121,17,58,265,132,2093,1623,2061,225,14,882,5850,969,11759,212,151,1309,330,417,963,0,1,2398,7149,527,9432,830,1082,857,29,395,1041,524,146,118,25,14931
1845,483,1037,51,1266,33,265,4245,283,421,637,1395,1485,102,327,938,71,746,319,130,88,675,1546,50,23,283,134,6233,1293,3357,100,1362,593,297,458,77,1219,553,2281,3869,784,5932,73,445,1358,25,416,48,2949,95,673,529,12391
2245,2033,5039,86,2134,143,320,10733,377,414,108,198,739,148,60,1946,37,48,142,40,38,44,2325,34,23,24,1023,3413,1989,6153,344,222,1271,230,1200,2139,1020,741,2111,2081,189,5922,632,186,4240,14,301,5,1829,207,482,312,12961
1848,1812,5647,371,2210,135,513,5159,295,13,267,200,539,131,64,797,82,13,190,42,48,51,2374,33,80,266,1973,4230,1829,6124,74,244,206,210,38,2049,1020,5,1800,2108,66,5795,64,244,3757,17,149,2,1520,150,471,5,13301
