"Alistipes","Bacteroides","Blautia","Clostridium","Coptotermes","Dethiobacter","Eubacterium","Faecalibacterium","Heliobacterium","Kineococcus","Lactobacillus","Parabacteroides","Reinekea","Ruminococcus","Synechococcus","all_others"
7127,37587,3482,8754,1741,4111,1759,3961,10520,17084,9256,11220,16316,466,1721,47995
5908,19304,3105,7778,563,4353,6638,14629,2915,1238,5192,808,13517,3611,0,28375
3568,9302,3425,4635,716,1049,323,4259,2727,3345,633,3474,9416,550,932,19755
16573,18368,376,4973,127,461,259,836,2542,2932,1518,14932,6131,590,354,15523
4947,55455,2011,5500,1846,2248,5414,7527,4325,2498,1847,5666,16095,2849,0,19331
631,25684,3690,11626,2461,0,3829,1854,0,6454,8133,1711,0,1246,1944,22394
19994,25081,5515,7527,676,0,3501,5404,0,7414,4807,12699,0,3352,697,14640
665,22236,820,2046,200,480,1797,1615,1085,9206,835,6668,6389,1310,1010,11074
151,11674,1118,2977,4696,390,1417,6185,1052,6374,908,1968,8368,2384,637,18242
2601,13420,2609,5739,312,1286,2661,5087,2280,5723,2697,4561,5220,590,1332,13175
53,8919,1290,3935,979,1928,2369,4577,2861,1767,1807,434,6081,626,604,18409
4988,15425,2800,4276,1710,4066,821,7495,2523,5638,2111,10218,8263,3589,1432,27513
3301,20626,1423,2721,417,1290,1061,2129,1177,5834,998,5581,3741,279,1306,6754
10464,19452,5306,7195,3091,3058,4816,8363,2004,8063,6114,8276,17652,2574,3961,34738
19153,34085,3578,10063,611,4257,5764,8331,2976,16338,3436,11282,17083,3693,2019,30216
6801,16768,2147,10018,1960,2713,6089,8441,3473,2020,3857,1704,10087,4238,0,31828
16561,25255,2130,10234,1299,9835,5304,7117,2612,1216,1002,534,17423,1928,0,35100
11546,8872,739,2437,273,145,169,3033,742,1072,1473,10927,3282,469,229,9094
784,5747,2000,4993,769,3657,1808,5413,685,1280,690,165,9087,757,0,22970
7920,10838,1627,3274,716,1984,2430,5660,2070,3561,3570,6114,5583,850,1193,11923
1599,8220,2915,8385,888,948,4513,7844,2264,6859,2400,1654,9317,3235,2364,20337
2627,35318,2170,5255,125,4871,976,2262,3378,1286,822,1160,9980,1596,0,10998
404,12240,1603,3447,535,1744,2124,4267,1724,4043,1526,2808,6916,3182,951,21481
8739,4279,3348,3388,1032,1575,1898,4602,872,3603,867,6296,7596,993,1872,14837
6453,20484,6649,2929,159,1900,2469,4283,1171,6436,1540,5092,8459,1222,2065,17763
1908,30313,2237,2532,215,1746,4188,2433,1395,9122,2013,4403,8077,2409,2717,13832
16155,20737,3804,3873,199,0,2980,3420,0,5173,3041,8744,0,1594,733,8030
1062,20156,1010,1843,356,813,1220,1438,1647,7195,724,3465,2746,735,437,7850
1176,9665,1911,5419,1564,1788,2174,5327,761,2158,1911,1132,6149,1223,1733,17264
1221,6143,1333,4815,923,1989,1583,5290,1207,592,500,896,6577,423,0,18020
10491,13533,1276,2827,377,365,1914,2762,1293,6620,1881,10596,5186,602,1132,9665
5870,11476,1330,2942,765,2937,3914,5457,1317,4597,1619,3627,8082,1684,1214,17657
2034,23729,1963,3283,387,0,3685,2606,0,5952,2603,2806,0,1034,2003,15629
2183,18702,1680,3301,136,609,920,5429,1679,5958,1757,4338,3584,2213,2043,14102
8803,24163,1471,1849,157,1751,2680,3023,1177,9292,2280,5027,5564,609,880,12338
11252,16580,2487,5474,722,3623,6330,5220,2568,1257,444,1422,11960,3245,0,28938
8372,17546,5025,6897,1340,6257,5638,10521,4599,7793,4423,6033,22081,2524,2338,43284
12188,29459,5780,11462,902,2211,4927,17256,3824,10313,4205,9731,12430,7993,5329,23063
14872,63644,4200,6335,533,1,2493,5860,0,20853,3243,19250,0,2519,4144,27981
6545,20001,2427,2696,1896,0,2907,2272,0,4498,5287,5342,0,1623,1762,9719
0,68992,3597,5121,17,310,5890,6716,3492,24331,4343,14467,10413,4527,6613,22577
2273,20577,1457,2466,1848,3288,1707,3177,1257,9476,1746,3290,5656,347,811,16715
9397,22488,3610,5906,821,0,3023,2718,0,7165,6279,12281,0,1498,2308,13247
15158,28911,1964,2324,322,4159,1093,3290,1326,650,144,597,6441,1593,0,6948
4432,19263,1562,4243,100,0,1563,2887,0,4675,4529,9138,0,2690,1998,12098
4950,43787,1107,1540,664,152,1301,3878,1312,13398,660,6834,2820,810,520,7747
2097,21407,3421,6327,325,0,4517,1535,0,7522,5167,2473,0,1193,2349,14120
2737,13317,1166,4603,700,832,1740,4393,1747,3838,1616,2663,6176,1236,1507,12966
