"","Alistipes","Bacteroides","Barnesiella","Blautia","Butyrivibrio","Caloramator","Clostridium","Eubacterium","Faecalibacterium","Hespellia","Parabacteroides","Ruminococcus","Selenomonas","Veillonella","all_others"
"EM366",0,0,0,523,25,21,1680,0,1625,189,0,738,0,189,2249
"EM136",4916,6683,435,151,14,90,964,80,518,19,1615,614,85,14,954
"EM259",6134,2241,21,404,116,80,2022,1360,2528,588,1643,509,281,47,2057
"EM219",1510,8034,91,414,164,233,869,1804,170,21,1959,80,18,139,536
"EM361",1062,5062,255,1677,321,435,3375,1224,1285,35,713,579,592,54,1657
"EM262",246,4097,107,793,85,60,1072,1905,1527,746,1653,2381,32,161,9391
"EM177",7885,3734,134,436,67,1552,2976,1440,1989,724,897,637,264,77,621
"EM213",2202,7316,0,457,130,423,1946,1911,2394,11,368,606,56,70,1170
"EM089",294,4033,0,343,316,29,921,1875,2055,380,147,640,34,39,542
"EM234",6852,15590,0,423,33,7840,2599,201,954,501,1840,228,64,159,3440
"EM327",2377,7435,26,406,408,50,2412,186,2269,36,3633,124,20,111,2011
"EM199",172,681,560,178,41,318,795,975,445,0,442,49,1010,50,445
"EM168",335,2894,0,446,50,2762,2626,267,320,11,1051,516,137,64,1816
"EM185",5790,4485,0,353,53,263,2472,802,1705,448,1850,515,148,54,772
"EM364",1252,5446,44,241,335,167,2942,980,1252,19,861,595,579,231,1800
"EM044",513,2409,554,533,402,146,2470,2107,2716,198,310,1097,102,94,740
"EM215",442,4482,62,571,197,77,1888,3616,1663,33,2479,1025,29,160,347
"EM243",101,5272,0,414,60,304,1274,779,720,12,1018,1128,212,0,2883
"EM244",1448,7555,30,746,165,176,3336,2326,3108,182,2052,110,166,63,862
"EM047",8900,10533,0,1446,760,159,718,792,2557,15,0,116,0,275,1034
"EM183",7155,2408,84,604,141,2012,1627,2012,1711,140,723,1158,293,168,2404
"EM204",1888,6501,182,1048,29,73,4433,2955,1380,67,254,1278,77,34,789
"EM175",15,15138,99,870,27,29,392,2119,3745,0,384,69,0,299,918
"EM106",980,1966,17,575,236,183,2711,1381,874,36,1046,380,1014,141,3717
"EM272",8912,6433,226,262,154,467,1373,1735,1271,0,1585,259,310,70,687
"EM143",876,1980,211,993,153,413,5240,1177,3250,57,770,908,101,86,2337
"EM291",7515,6935,171,747,71,247,4116,2109,1114,83,2038,631,358,360,842
"EM224",8550,11619,166,1150,151,157,9997,2511,1512,391,2489,2273,94,131,2933
"EM082",1375,14521,249,81,19,10,274,130,377,0,823,0,0,0,42
"EM192",3783,2549,0,622,23,1114,5477,1055,1476,200,1481,669,194,73,1431
"EM284",0,34993,919,2297,243,113,1773,4273,3131,43,8722,1519,0,146,1580
"EM356",3321,9002,434,1525,152,23,856,2886,4934,27,1550,368,26,60,1410
"EM260",824,4112,197,487,230,162,5364,2480,3407,50,165,2122,17,118,1570
"EM237",2463,2889,13,196,11,2467,1344,269,45,2312,1553,461,25,0,2477
"EM138",1751,6759,0,708,293,57,1241,1032,1292,46,3008,3100,49,49,4029
"EM193",591,6282,12,1735,962,27,1269,2217,3849,185,758,1854,78,196,1631
"EM178",644,1934,0,203,0,1166,1664,451,1533,287,632,124,202,11,1115
"EM365",7921,0,0,201,244,19,411,418,416,13,70,317,0,26,229
"EM326",2455,2697,236,337,103,701,933,1934,670,1290,1149,538,348,84,2172
"EM233",2228,4617,1116,286,15,1427,6422,315,1106,27,1475,291,76,58,2271
"EM166",3608,4618,0,18,47,607,489,46,465,0,2708,1357,0,0,63
"EM172",496,1579,70,466,78,85,2386,1995,2408,2138,1043,369,910,82,2076
"EM217",2149,2162,0,1306,268,2755,2713,1105,1278,108,1746,216,0,195,532
"EM161",2423,5338,319,814,323,2722,1737,2569,2394,0,2095,291,287,205,1671
"EM323",4433,5464,2136,532,505,187,2380,743,1808,55,527,2128,22,59,1033
"EM205",1008,6649,653,496,106,93,3401,1700,2326,183,883,2947,115,62,1057
"EM232",1422,2275,24,217,40,37,376,394,215,155,940,466,20,77,441
"EM120",1839,4541,154,2110,28,64,3043,1092,844,737,521,631,151,27,467
"EM253",4066,7115,94,1032,1436,120,7767,1322,3730,28,1698,1696,177,162,5674
"EM268",9000,4579,0,1310,333,102,2478,2599,3151,73,0,742,20,37,1243
"EM171",788,448,13,623,95,364,1809,817,1057,81,209,277,410,21,1130
"EM338",2334,5901,20,390,36,326,1858,990,2099,171,1051,474,247,87,1154
"EM277",6032,7320,125,868,219,52,2762,5302,2214,446,1206,2281,960,102,10647
"EM060",2651,7306,760,191,113,38,530,1013,547,342,273,199,0,22,271
"EM096",2612,6577,466,1317,286,319,1653,747,1781,48,3512,3500,184,177,368
"EM041",10158,2395,88,91,15,212,1565,468,565,15,3239,1019,392,35,6343
"EM318",4241,5551,172,714,52,388,2335,1501,1921,22,3504,1366,24,69,2356
"EM228",6484,14710,77,760,406,138,3471,3982,2062,519,1553,985,71,124,2355
"EM197",1345,1223,0,190,12,2544,1003,641,665,283,1721,125,393,0,1002
"EM150",3104,6270,18,111,95,71,1344,2059,820,13,3368,992,14,19,931
"EM242",639,9404,0,235,0,158,1659,345,558,0,3422,1153,17,88,1037
"EM169",1735,6457,50,193,29,152,1351,127,1456,73,1046,800,160,16,1194
"EM235",3786,6885,91,1582,394,154,4921,5025,7223,818,799,1477,157,143,2550
"EM188",7992,10230,0,246,90,313,1265,256,797,0,5480,832,26,46,1227
"EM238",8789,2021,0,130,50,2420,1218,193,94,3124,4554,491,95,11,1038
"EM328",398,1342,23,1529,923,45,1575,2343,5957,466,86,995,35,142,1348
"EM222",4159,6940,2153,762,559,370,7753,2586,2255,1149,3627,367,1285,213,2943
"EM179",669,13340,73,222,124,13,310,662,56,0,2203,185,152,11,70
"EM144",640,2152,184,239,30,31,699,615,255,0,650,82,10,50,746
"EM210",2305,1388,10,58,14,98,723,752,211,0,893,198,36,13,1432
"EM053",5248,15758,322,807,126,22,817,885,1734,21,2683,52,0,205,1387
"EM181",1722,3196,0,799,90,77,6271,1623,1794,10,523,1390,427,78,3693
"EM191",3559,2457,0,538,42,718,4776,774,1383,166,1313,188,204,75,1969
"EM293",12347,9472,0,569,340,343,1153,653,1289,50,590,1080,11,0,498
"EM247",3469,4588,434,874,44,141,2664,596,2860,88,1048,2860,132,68,6994
"EM227",2783,3364,118,155,0,5900,1305,259,440,2508,4121,503,125,82,352
"EM122",35,16915,0,619,71,36,363,129,53,265,14347,439,0,308,403
"EM187",1016,10599,0,560,84,49,1709,790,1956,154,3346,1198,90,138,440
"EM265",957,10314,779,990,67,92,1179,4012,1235,80,2217,1360,36,146,491
"EM254",10173,8182,254,339,531,842,2901,2171,2579,447,533,936,598,178,3350
"EM239",2839,24562,403,805,537,78,2613,3627,3653,199,4991,2041,183,244,1565
"EM159",725,2408,45,100,91,4252,2701,244,53,43,331,301,305,16,1986
"EM350",5923,1396,841,468,919,122,1297,560,2070,75,10112,1605,183,87,1004
"EM278",4833,6846,348,1789,703,1118,4235,4229,2682,1100,1446,1505,746,118,3816
"EM231",5419,6288,262,1672,446,188,7109,6831,2153,334,711,2266,646,133,1652
"EM071",1490,1650,13,262,53,174,2768,341,331,65,793,544,78,56,1912
"EM095",1004,2697,0,903,544,1256,3644,4410,1182,406,2931,787,117,43,3672
"EM321",1456,1838,154,221,485,229,2931,962,2028,31,1044,1098,751,50,1062
"EM012",3688,110,0,168,15,62,976,963,2466,58,19,187,0,85,2883
"EM189",2225,1401,0,626,17,62,1499,390,735,909,230,2098,606,30,1186
"EM358",565,12530,179,422,273,79,1543,2112,2946,138,3398,393,113,73,933
"EM263",4508,1771,753,150,217,68,1662,1092,1262,184,1169,635,58,209,528
"EM212",920,1171,0,731,12,3212,2917,282,532,15,1469,905,2255,53,906
"EM093",1152,1884,26,1547,448,1134,3227,2636,4599,44,334,1439,100,417,1165
"EM261",1379,16751,42,1272,159,58,1659,614,517,112,1141,646,18,332,2600
"EM142",1579,9672,0,1968,83,271,2587,1629,3730,0,220,532,31,1138,2079
"EM084",2419,3759,14,2259,654,46,1345,1672,2667,865,2756,2441,53,323,3406
"EM198",0,16212,0,729,48,255,1635,102,100,163,0,532,0,110,574
"EM357",3416,3775,0,451,202,102,1218,334,1449,0,940,1076,23,45,2060
"EM286",1153,9611,0,826,15,39,997,1194,1038,245,2092,96,61,152,2590
"EM276",4592,11603,331,856,516,33,1015,2004,928,25,900,251,18,236,668
"EM337",165,3246,17,272,247,237,5673,577,2048,222,852,1464,109,193,2236
"EM017",2056,3755,36,361,160,30,1168,1701,2148,100,1690,365,188,76,376
"EM059",1823,6737,136,1510,620,88,1101,2857,1122,0,2806,256,39,25,1645
"EM119",2692,4310,22,423,134,229,996,1180,864,194,595,331,110,144,503
"EM241",15229,7286,0,2947,373,298,3521,3446,2838,34,0,1651,38,711,1295
"EM252",10905,16473,525,1290,143,126,4100,5232,3761,84,835,1777,2945,489,932
"EM157",4922,14234,72,875,461,51,1713,1308,1227,266,780,2306,144,94,1216
"EM269",853,11086,152,440,145,30,358,1039,404,22,1069,385,17,241,583
"EM319",2811,12956,298,439,225,1030,848,1206,1354,73,2704,673,12,192,292
"EM100",1704,2635,70,1272,204,739,2720,1040,2403,887,557,1000,1376,75,1435
"EM229",2638,5848,695,603,49,152,3115,5124,2840,346,12,934,207,53,1785
"EM182",3578,3770,241,246,0,144,655,567,476,69,315,174,38,0,3647
"EM015",407,10021,36,576,46,15,613,563,271,10,706,719,22,24,394
"EM208",12,3222,0,521,0,1355,647,57,134,0,2720,335,32,41,1125
