"","mu","alpha_cent"
"Arthrobacter",-19.1848461060127,0.240180446577233
"Bacillus",46.8934456426216,13.5835060731639
"Bradyrhizobium",-9.78910163173543,4.47826400688442
"C.Koribacter",4.63004705043137,18.7230042733688
"C.Nitrososphaera",76.6787396117364,23.2689153082507
"C.Solibacter",-32.6322241201067,13.1206262092678
"Chthoniobacter",11.8937890222113,17.5875606187238
"Hymenobacter",-82.3338410085172,1.03658815835114
"Micromonospora",-97.10812810236,4.11462529617611
"Mycobacterium",-254.800236563566,3.75983754992996
"Nitrospira",-79.183493938245,13.03754034935
"Opitutus",-162.464544761354,5.28924362433589
"Paenibacillus",-166.033678361733,7.97428124259485
"Pirellula",-47.0069691244764,5.57852545687687
"Rubrobacter",39.7220554558378,9.24803509259058
"Ruminococcus",-27.7423457537842,12.062384945023
"Terrimonas",90.3804539223289,9.43361309832921
