"","Arthrobacter","Bacillus","Bradyrhizobium","Candidatus Koribacter","Candidatus Nitrososphaera","Candidatus Solibacter","Chthoniobacter","Hymenobacter","Micromonospora","Mycobacterium","Nitrospira","Opitutus","Paenibacillus","Pirellula","Rubrobacter","Ruminococcus","Terrimonas","all_others"
"CC21-WS-October2012",40,242,66,1189,639,259,2504,35,73,22,310,98,53,77,72,223,771,965
"P46-LM-July2012",131,241,47,928,109,334,510,44,82,52,30,107,73,43,87,271,711,928
"CC12-LM-July2012",50,433,195,467,1028,229,1765,20,77,34,214,59,73,49,164,140,447,858
"PF32-MM-July2012",90,103,158,206,571,82,1346,32,60,59,152,88,51,54,104,83,831,953
"P31-WS-July2012",113,349,71,179,712,106,1334,52,106,94,119,81,88,76,216,105,865,1680
"PF41-Micro-October2012",326,176,237,281,1028,122,1539,107,153,96,179,39,68,125,202,124,1355,1957
"CC43-LM-October2012",33,310,23,1299,457,303,934,24,46,17,160,23,47,30,47,180,247,479
"PF41-LM-October2012",70,157,43,87,559,57,715,40,72,64,93,54,68,72,139,46,575,1186
"P31-SM-October2012",29,120,92,48,419,37,674,70,40,49,46,48,43,57,116,57,403,568
"P24-MM-July2012",88,291,109,280,584,131,823,51,79,94,110,79,93,125,142,114,792,1231
"CC43-Micro-October2012",114,316,25,1203,1022,374,2311,85,78,37,202,78,117,48,98,260,1102,1536
"CC21-MM-October2012",30,221,0,950,527,123,1213,26,20,0,151,21,61,0,28,134,360,436
"P31-MM-October2012",69,175,126,75,663,76,1060,57,93,65,92,83,63,112,240,29,759,1043
"PF15-MM-July2012",83,144,87,103,783,50,928,152,54,49,165,58,29,57,122,85,581,817
"PF15-WS-July2012",84,193,0,111,1159,98,1098,81,73,76,177,98,112,111,121,80,887,1004
"PF23-LM-July2012",46,216,200,799,345,263,769,0,59,38,131,41,43,33,75,174,549,741
"PF15-SM-July2012",182,178,103,199,970,101,1659,102,68,58,208,114,50,102,151,105,939,1261
"PF32-WS-October2012",181,264,156,268,422,121,2282,162,121,70,140,164,80,96,75,142,1386,2087
"P13-Micro-October2012",158,234,105,207,441,61,1538,73,189,158,90,73,101,89,350,156,770,1801
"CC35-Micro-October2012",494,444,217,1053,748,272,1901,220,94,44,201,95,118,64,134,263,1279,1782
"PF32-Micro-July2012",115,94,0,122,496,60,1362,50,19,41,78,82,46,76,77,72,869,664
"PF23-LM-October2012",190,202,99,622,414,168,920,31,188,51,120,77,75,96,97,197,706,1297
"CC21-SM-October2012",120,483,55,1360,860,370,871,55,110,45,299,83,155,72,90,346,817,1785
"CC43-SM-October2012",36,210,31,470,506,113,878,29,41,10,96,39,57,26,33,113,362,364
"P46-Micro-October2012",437,536,432,1195,163,461,976,150,101,130,46,120,164,130,137,342,1658,3265
"CC21-MM-July2012",107,210,66,1211,654,267,1802,38,58,24,313,54,58,62,100,196,536,811
"CC35-SM-October2012",415,336,257,938,766,307,1389,159,90,46,219,77,136,60,108,245,1013,1471
"PF32-WS-July2012",111,251,63,359,711,113,2408,105,99,64,187,152,67,107,129,144,1771,1715
"P31-MM-July2012",87,170,193,175,537,124,1427,20,191,56,118,73,71,163,223,127,471,1155
"CC12-Micro-October2012",264,374,145,194,1405,135,1637,251,99,89,192,96,84,76,326,178,1424,1310
"PF15-MM-October2012",111,229,201,149,1239,121,1393,88,93,67,215,79,72,106,258,90,895,1301
"PF41-LM-July2012",173,199,118,357,538,107,465,39,86,76,148,26,47,49,114,112,527,751
"PF15-WS-October2012",101,211,65,129,657,80,836,84,75,67,137,46,42,77,268,96,807,1011
"P24-MM-October2012",67,318,72,320,366,110,1505,96,131,93,73,79,99,87,113,92,552,1378
"PF32-SM-July2012",192,224,197,303,1038,125,985,91,103,52,232,85,62,104,143,159,1105,1257
"PF32-MM-October2012",139,180,75,329,567,164,1846,251,175,78,205,138,57,70,182,110,1172,1808
"CC35-SM-July2012",99,59,136,742,489,172,1637,31,19,12,121,24,38,25,30,133,408,417
"CC43-LM-July2012",35,199,55,967,401,275,1566,49,43,24,156,50,57,26,51,185,643,560
"CC35-WS-July2012",78,193,136,595,433,186,1259,35,28,11,139,45,76,28,39,113,320,411
"CC12-LM-October2012",45,481,29,110,1850,79,1441,25,96,51,216,59,91,143,322,68,237,1189
"P46-LM-October2012",141,427,336,1467,70,348,1238,230,49,45,20,51,147,67,52,196,623,1859
"PF32-SM-October2012",205,221,140,197,448,113,867,464,118,81,112,115,63,129,117,139,1697,2225
"CC21-WS-July2012",67,229,65,1122,511,290,1619,35,81,21,245,39,60,30,59,162,525,992
"PF15-Micro-July2012",182,118,37,240,852,118,848,65,61,49,193,84,47,84,109,103,857,1274
"CC43-WS-July2012",78,161,106,1076,400,255,937,23,53,29,219,47,54,62,64,142,457,1296
"P31-WS-October2012",112,328,0,275,840,97,1427,120,175,113,94,100,61,126,253,84,1192,1485
"CC35-LM-July2012",76,93,45,952,607,197,1300,23,58,22,144,16,44,33,70,138,256,475
"P13-LM-July2012",127,274,123,183,653,144,2253,79,155,106,131,66,91,85,187,130,935,2036
"CC43-SM-July2012",60,161,46,524,378,133,1550,24,44,13,165,30,60,54,43,130,292,374
"CC21-SM-July2012",148,206,141,728,486,242,579,38,104,26,196,43,62,43,75,162,499,994
"P24-Micro-July2012",154,220,38,162,341,97,1000,105,81,152,80,110,83,129,155,121,899,1365
"PF23-Micro-October2012",283,228,230,544,322,174,1136,113,121,74,122,131,71,107,93,170,1214,1940
