"","Acidimicrobium","Alistipes","Amycolatopsis","Arthrobacter","Bacillus","Bradyrhizobium","Candidatus Amoebophilus","Candidatus Koribacter","Candidatus Nitrososphaera","Candidatus Solibacter","Chthoniobacter","Clostridium","Cryobacterium","Flavobacterium","Hymenobacter","Janibacter","Kribbella","Micromonospora","Mycobacterium","Nitrospira","Nocardioides","Opitutus","Paenibacillus","Pedobacter","Pirellula","Pseudomonas","Pseudonocardia","Rubrobacter","Ruminococcus","Terrimonas","Thermoleophilum","all_others"
"CC12-SM-July2012",32,19,18,158,210,40,23,180,1077,129,921,64,13,12,49,24,27,89,37,179,22,68,35,20,70,0,33,113,130,546,61,265
"P24-SM-July2012",32,32,50,155,188,27,28,225,479,59,1889,71,40,53,72,19,31,61,96,109,32,63,57,33,105,0,28,174,104,773,59,761
"PF15-LM-October2012",84,72,167,174,365,298,64,171,1074,131,1991,86,54,72,74,30,45,160,122,229,46,102,98,28,161,24,77,241,117,1295,83,887
"CC12-WS-July2012",19,15,99,86,162,118,33,286,1024,149,2021,47,18,14,34,0,27,82,51,249,22,62,54,16,93,34,20,208,122,552,40,339
"PF32-Micro-October2012",26,48,77,212,171,126,93,203,280,112,1680,73,69,115,223,30,51,99,68,87,115,141,53,121,80,138,48,97,128,1416,20,1086
"PF41-MM-July2012",31,54,37,82,128,45,32,279,865,118,878,33,19,49,22,27,33,74,54,161,30,74,70,21,80,72,26,142,47,831,27,457
"P24-LM-October2012",55,76,206,88,591,63,40,165,880,87,1078,105,61,34,69,45,43,98,172,114,52,70,190,25,136,21,34,171,100,689,86,792
"P24-WS-July2012",31,36,56,60,195,11,24,214,486,94,1501,67,41,15,63,34,35,94,68,99,40,63,78,23,118,0,44,142,59,524,49,507
"CC21-LM-July2012",14,20,136,55,178,225,50,1704,453,359,709,49,31,0,0,0,0,56,18,253,20,71,67,0,28,0,20,88,232,490,19,367
"P31-LM-July2012",30,49,42,61,216,122,43,139,600,107,1332,23,22,68,46,33,101,106,87,97,13,60,93,0,92,29,40,229,73,581,63,594
"P13-WS-October2012",34,37,74,84,349,30,69,275,682,158,2680,60,54,68,110,47,35,108,105,77,30,71,136,45,92,14,52,188,156,1013,48,645
"PF23-MM-October2012",81,24,62,163,201,336,81,757,287,204,713,48,71,44,46,0,38,192,62,121,73,81,101,32,99,92,73,74,171,962,37,898
"PF41-SM-October2012",21,20,28,119,232,138,37,204,641,79,1041,46,22,39,58,38,22,57,46,141,43,52,57,55,78,31,25,99,83,641,56,602
"P46-Micro-July2012",60,38,47,454,183,275,60,589,106,207,1199,48,70,72,135,24,0,85,65,32,109,125,64,22,66,73,32,73,172,936,42,1042
"CC12-Micro-July2012",13,17,56,205,169,262,32,228,927,123,706,51,25,0,116,18,42,84,56,173,49,68,47,32,66,0,30,179,175,612,52,442
"P46-WS-October2012",23,59,81,134,367,421,40,998,120,315,921,43,55,155,97,0,29,71,63,38,42,91,121,24,96,32,42,80,242,1208,21,956
"PF41-SM-July2012",24,50,36,154,142,111,58,213,813,89,1459,44,0,67,75,13,33,76,61,151,41,118,68,47,72,139,42,143,103,844,15,455
"CC35-MM-July2012",37,12,64,62,133,90,34,1130,472,277,2584,52,23,35,37,10,0,39,21,153,16,39,44,19,41,14,26,47,132,484,24,382
"P13-MM-July2012",12,0,35,54,255,91,19,84,601,77,814,45,23,83,44,34,20,96,66,73,13,75,57,14,129,0,27,135,77,700,44,351
"PF41-WS-July2012",26,27,31,93,86,142,18,194,561,115,1140,45,25,30,37,52,29,118,68,159,34,63,39,17,93,60,40,160,91,541,42,525
"PF23-WS-October2012",19,58,60,152,143,347,66,718,401,197,1655,64,68,61,105,55,60,106,69,157,48,100,75,61,112,77,39,107,167,1170,32,1025
"P24-Micro-October2012",66,46,43,191,372,197,90,427,594,135,1815,79,77,85,138,91,69,215,193,101,73,107,137,58,73,113,75,243,138,1168,92,1134
"PF23-Micro-July2012",35,42,77,205,198,161,64,623,393,152,1956,48,50,103,127,51,22,73,38,139,96,124,52,52,124,91,33,39,204,1383,38,752
"CC43-MM-July2012",40,24,23,67,219,144,24,1173,501,243,2703,33,13,16,31,19,70,66,21,167,20,58,65,0,31,0,24,67,209,469,45,630
"CC12-SM-October2012",19,22,53,179,187,112,19,200,1092,99,1395,53,26,14,120,31,30,69,51,238,37,73,62,22,57,12,48,272,131,639,52,466
"P24-SM-October2012",48,49,77,94,340,244,50,235,390,107,1900,65,58,53,74,39,37,129,90,89,44,64,64,33,75,31,34,137,101,733,80,735
"PF32-LM-October2012",92,42,69,196,272,332,61,193,626,95,1619,33,77,71,101,72,37,97,70,132,46,164,58,74,128,12,95,162,138,1619,36,762
"PF15-Micro-October2012",35,15,65,204,169,12,32,110,747,70,1019,30,59,26,68,60,26,92,79,125,61,75,61,48,50,22,66,177,108,759,35,628
"P46-MM-October2012",35,34,38,114,280,255,61,753,115,273,979,69,41,67,88,17,0,58,38,34,40,82,80,17,62,33,32,56,140,940,17,753
"CC12-MM-October2012",19,35,49,177,375,141,44,589,1759,249,4396,129,20,57,130,19,61,75,75,302,29,86,124,67,164,25,52,265,219,1214,82,794
"PF32-LM-July2012",0,54,60,72,229,41,47,470,755,130,2270,50,20,71,32,19,39,74,50,104,19,83,64,0,76,16,33,124,125,846,37,336
"PF41-WS-October2012",38,30,73,248,251,96,33,464,650,144,1011,41,48,53,60,13,50,91,35,207,35,35,100,48,67,39,52,142,123,785,35,662
"PF23-WS-July2012",19,68,33,121,212,155,62,790,476,317,2242,97,36,95,76,35,16,67,31,115,61,117,82,43,104,74,50,76,167,1128,27,957
"P13-SM-October2012",26,36,36,81,194,131,29,122,452,72,1228,49,29,23,55,16,47,95,79,53,27,51,71,21,42,14,45,209,89,561,41,347
"CC21-Micro-October2012",21,17,76,172,349,250,65,1282,918,313,1873,114,32,15,61,42,17,109,42,241,80,55,129,49,51,31,42,88,252,1008,19,889
"P46-MM-July2012",31,41,78,158,360,139,64,1165,144,372,1578,48,33,106,56,16,0,83,36,31,22,86,116,14,48,39,30,56,221,983,39,536
"CC12-MM-July2012",0,15,52,67,110,15,25,303,1158,166,2033,79,10,16,36,10,26,76,50,260,34,73,71,14,89,11,38,148,106,473,64,533
"P31-Micro-October2012",42,61,43,69,207,141,40,118,687,55,1066,39,18,62,134,54,72,83,99,69,46,110,49,36,116,37,70,231,110,1180,34,544
"P46-SM-October2012",25,40,79,265,286,28,75,744,105,288,926,62,80,70,75,27,10,116,72,58,44,86,95,15,64,0,44,63,216,1120,35,1026
"CC43-MM-October2012",17,22,29,25,285,242,60,1869,1081,340,1362,53,23,20,30,12,15,70,31,338,23,62,105,21,68,0,22,112,290,632,0,421
"PF23-SM-July2012",18,27,33,155,146,72,36,463,241,104,1387,19,31,56,60,22,17,86,26,61,52,82,43,32,81,202,29,52,102,903,14,556
"CC35-MM-October2012",40,25,45,146,323,217,36,1428,899,284,2321,89,17,22,115,20,0,71,29,239,54,58,110,109,54,0,24,108,207,685,33,498
"P13-MM-October2012",14,27,23,41,174,10,27,98,398,67,1487,37,22,52,69,26,34,57,61,72,20,92,49,19,65,19,17,125,50,604,45,364
"PF41-Micro-July2012",0,22,23,199,187,114,31,167,518,50,602,19,24,48,60,25,20,52,51,77,28,72,36,17,44,137,40,103,67,628,32,461
"CC12-WS-October2012",13,32,63,86,304,0,50,320,1202,194,755,76,15,13,96,24,38,33,55,224,34,63,72,30,72,10,37,181,135,958,16,602
"P24-WS-October2012",30,0,90,156,407,176,28,116,533,87,1624,40,40,141,156,27,25,111,101,96,52,56,115,46,110,13,42,148,129,655,81,565
"CC43-Micro-July2012",59,27,39,222,245,299,23,840,480,263,2163,63,35,28,118,13,21,62,41,204,55,113,72,24,29,0,24,77,218,795,28,634
"PF23-MM-July2012",46,49,46,109,195,222,64,583,370,212,1371,48,19,132,100,24,22,39,39,164,55,141,75,30,69,81,31,43,137,966,13,659
"P13-SM-July2012",44,49,45,178,283,134,28,74,533,90,1134,65,27,64,75,48,39,100,103,78,53,74,74,23,123,0,60,186,88,784,78,748
"PF15-LM-July2012",0,24,21,54,139,32,21,37,1391,29,475,66,0,102,43,16,0,30,69,244,0,34,53,15,117,0,39,183,65,281,72,287
"PF41-MM-October2012",59,21,115,219,309,142,38,369,831,132,1457,74,23,54,71,53,86,140,101,176,57,100,99,73,115,36,63,262,77,650,88,906
"P13-Micro-July2012",27,40,42,209,220,131,60,84,522,55,1547,69,27,48,69,44,29,72,75,57,46,91,60,30,123,70,36,198,127,843,58,603
